Name	MOA	Target	Phase
AC-186	estrogen receptor agonist	ESR2	Preclinical
AC-261066	retinoid receptor agonist	RARB	Preclinical
AC-264613	PAR agonist	F2RL1	Preclinical
AC-55541	PARP inhibitor	PARP2	Preclinical
AC-55649	retinoid receptor agonist	RARA, RARB	Preclinical
AC-710	PDGFR tyrosine kinase receptor inhibitor	CSF1R, FLT3, KIT, PDGFRA, PDGFRB	Preclinical
AC-7954-(+/-)	urotensin receptor agonist	UTS2R	Preclinical
acadesine	AMPK activator		Phase 3
acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitor	BTK	Phase 3
acalisib	PI3K inhibitor	PIK3CB, PIK3CD	Phase 1
acamprosate	glutamate receptor antagonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRM5	Launched
acarbose	glucosidase inhibitor	AMY2A, GAA, MGAM, SI	Launched
ACDPP	glutamate receptor antagonist	GRM5	Preclinical
acebutolol	adrenergic receptor antagonist	ADRB1, ADRB2	Launched
acecainide	polarization inhibitor	SCN5A	Phase 3
aceclidine	acetylcholine receptor agonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	Launched
aceclofenac	prostanoid receptor antagonist	PTGS2	Launched
acedapsone			Launched
acedoben			Phase 2
acefylline	adenosine receptor agonist	ADORA1	Launched
aceglutamide			Launched
acemetacin	cyclooxygenase inhibitor	PTGS1, PTGS2	Launched
aceneuramic-acid		AZGP1, CES1, MBL2, REG1A, SELE, SELP, SIGLEC1	Phase 3
acenocoumarol	vitamin K antagonist	VKORC1	Launched
acepromazine	dopamine receptor antagonist	ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A	Launched
acesulfame-potassium			Phase 3
acetanilide	hydrogen peroxide decomposition inhibitor		Preclinical
acetarsol			Launched
acetazolamide	carbonic anhydrase inhibitor	AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7	Launched
acetohexamide	ATP channel blocker	ABCC8, KCNJ1, KCNJ10, KCNJ11	Launched
acetohydroxamic-acid	urease inhibitor	MMP12	Launched
acetophenazine	dopamine receptor antagonist	DRD1, DRD2	Launched
acetriazoic-acid			Preclinical
acetyl-farnesyl-cysteine	methyltransferase inhibitor	PPARG	Launched
acetyl-l-leucine			Launched
acetyl-11-keto-beta-boswellic-acid	lipoxygenase inhibitor	HSD11B1, HSD11B2	Phase 2
acetylcholine	acetylcholine receptor agonist	ACHE, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2	Launched
acetylcysteine	mucolytic agent	ACY1, CHUK, GRIN1, GRIN2A, GRIN2B, GRIN2D, GRIN3A, GSS, IKBKB, RELA, SLC7A11	Launched
acetylsalicylsalicylic-acid	cyclooxygenase inhibitor		Preclinical
acexamic-acid	5 alpha reductase inhibitor	GAST	Launched
acifran	cholesterol inhibitor	HCAR2, HCAR3	Phase 3
acipimox	cholesterol inhibitor	HCAR2	Launched
acitazanolast	mediator release inhibitor		Launched
acitretin	retinoid receptor agonist	RARA, RARB, RARG, RBP1, RXRA, RXRB, RXRG, STAT3	Launched
acivicin	gamma glutamyltransferase Inhibitors	CTPS1	Phase 2
aclarubicin	topoisomerase inhibitor	TOP1, TOP2A	Launched
aclidinium	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	Launched
ACPC	glutamate receptor antagonist		Phase 1
acriflavine	hypoxia inducible factor inhibitor	HIF1A	Launched
acriflavinium	hypoxia inducible factor inhibitor	HIF1A	Launched
acrisorcin	other antifungal		Launched
acrivastine	histamine receptor antagonist	HRH1	Launched
acrylate	mucus protecting agent		Phase 3
ACT-132577	endothelin receptor antagonist	EDNRA, EDNRB	Launched
ACT-462206	orexin receptor antagonist	HCRTR1, HCRTR2	Phase 1
actarit	interleukin receptor agonist		Launched
ACTB-1003	FGFR inhibitor, VEGFR inhibitor	KDR, TEK	Phase 1
actinomycin-d	RNA polymerase inhibitor		Launched
actinoquinol			Preclinical
ACY-1215	HDAC inhibitor	HDAC1, HDAC2, HDAC3, HDAC6, HDAC8	Phase 1/Phase 2
acyclovir	DNA polymerase inhibitor	PNP	Launched
AC1NDSS5			Phase 1
AD-5467	aldose reductase inhibitor	AKR1B1	Phase 2
adapalene	retinoid receptor agonist	RARA, RARB, RARG, RXRA, RXRB, RXRG	Launched
adaprev	TGF beta receptor inhibitor	IGF2R, M6PR	Phase 3
adaptavir	CC chemokine receptor antagonist	CCR5	Phase 2
adarotene	retinoid receptor agonist	RARB, RARG	Phase 1
adatanserin	serotonin receptor agonist, serotonin receptor antagonist	HTR1A, HTR2A	Phase 2
ADD-233089	benzodiazepine receptor agonist		Phase 1
adefovir	DNA polymerase inhibitor		Launched
adefovir-dipivoxil	DNA polymerase inhibitor		Launched
adelmidrol	anti-inflammatory agent		Phase 2/Phase 3
ademetionine	methyltransferase stimulant, phosphodiesterase inhibitor	AMD1, CBS, COMT, GNMT, MAT1A, MAT2A	Launched
adenine	protein synthesis stimulant	ACACB, ACP1, APRT, MTAP, PECR, SRPK2	Preclinical
adenosine	adenosine receptor agonist	ADORA1, ADORA2A, ADORA2B, ADORA3, PI4K2A, PI4K2B, TRPM4	Launched
adenosine-phosphate	adenosine receptor agonist	ACSL1, ACSS1, ACSS2, ADCY1, ADK, CREB1, FBP1, HINT1, PDE4B, PDE4D, PIM1, PRKAA1, PRKAB1, PRKAB2, PYGL, TRPM4	Launched
adenosine-triphosphate	adenosine receptor agonist	ABCA1, ABCB1, ABCB11, ABCC2, ABCC8, ABCC9, ABCG1, ABL1, ABL2, ACSL1, ACSS1, ACSS2, ACVR1, ACVR1B, ACVRL1, ADCY1, ADRBK1, ADRBK2, AFG3L2, AKT1, ALK, AMHR2, APAF1, ARAF, ASNA1, ASNS, ASS1, CDK15, GPR17, ITPR1, NAE1, NT5C2, P2RY1, P2RY11, P2RY13, P2RY2, P2RY4, PRKAA1, RYR1, RYR2, RYR3, SLC25A4, TNK2, TRPM4, TRPM7	Phase 2
adiphenine	acetylcholine receptor antagonist	CHRNA1	Launched
adipic-acid	solute carrier family member inhibitor	SLC22A6	Preclinical
adiporon	adiponectin receptor agonist	ADIPOR1, ADIPOR2	Preclinical
ADL5859	opioid receptor agonist	OPRD1	Phase 2
adoprazine	dopamine receptor antagonist, serotonin receptor agonist	DRD2, HTR1A	Phase 2
adrafinil	adrenergic receptor agonist		Launched
adrenalone	adrenergic receptor agonist	ADRA1A	Launched
adrenosterone	11-beta hydroxysteroid dehydrogenase inhibitor	HSD11B1, HSD11B2	Preclinical
ADX-10059	glutamate receptor negative allosteric modulator	GRM5	Phase 2
ADX-47273	glutamate receptor modulator	GRM5	Preclinical
AEE788	EGFR inhibitor, VEGFR inhibitor	EGFR, ERBB2, ERBB4, FGFR2, FGFR3, KDR	Phase 1/Phase 2
AEG3482	HSP inducer		Preclinical
afalanine	dopamine receptor agonist	DRD2	Phase 3
afatinib	EGFR inhibitor	EGFR, ERBB2, ERBB4	Launched
afimoxifene	estrogen receptor antagonist	ESR1, ESR2, ESRRG, PLD1, PRKCD, PRKCE, PRKCQ, PRKCZ	Phase 2
afloqualone	acetylcholine receptor antagonist		Launched
AFN-1252	FABI inhibitor		Phase 2
afobazole	anxiolytic		Launched
AF38469	sortilin inhibitor	SORT1	Preclinical
AG-1024	insulin growth factor receptor inhibitor	IGF1R	Preclinical
AG-14361	PARP inhibitor	PARP1	Preclinical
AG-490	EGFR inhibitor, JAK inhibitor	EGFR, JAK2, JAK3	Preclinical
AG-555	tyrosine kinase inhibitor	CDK2	Preclinical
AG-556	tyrosine kinase inhibitor		Preclinical
AGI-5198	isocitrate dehydrogenase inhibitor	IDH1	Preclinical
AGI-6780	isocitrate dehydrogenase inhibitor	IDH2	Preclinical
AGM-1470	cell cycle inhibitor	METAP2	Phase 2
agmatine	nitric oxide synthase inhibitor	ADRA2C, ASIC3, CACNA1B, CHRNA1, GRIN1, KCNJ1, NISCH	Phase 3
AGN-192403	imidazoline receptor ligand	NISCH	Preclinical
AGN-194310	retinoid receptor antagonist	RXRA, RXRB, RXRG	Phase 3
AGN-195183	retinoid receptor agonist	RARA	Phase 1/Phase 2
agomelatine	melatonin receptor agonist, serotonin receptor antagonist	HTR2A, HTR2B, HTR2C, MTNR1A, MTNR1B	Launched
AGP-103	membrane permeability inhibitor		Launched
AH-7614	free fatty acid receptor antagonist	FFAR4	Preclinical
AH11110	adrenergic receptor ligand	ADRA1B	Preclinical
AH6809	prostanoid receptor antagonist	PTGDR, PTGER1, PTGER2, PTGER3	Preclinical
AI-10-49	core binding factor inhibitor	CBFB	Preclinical
AIM-100	tyrosine kinase inhibitor	TNK2	Preclinical
ajmaline	sodium channel blocker	SCN5A	Launched
AJ76-(+)	dopamine receptor antagonist	DRD2, DRD3, DRD4	Preclinical
AK-7	SIRT inhibitor	SIRT2	Preclinical
AKBA	lipoxygenase inhibitor	ALOX5	Phase 3
aklomide			Launched
AL-8697	p38 MAPK inhibitor	MAPK14	Preclinical
alacepril	angiotensin converting enzyme inhibitor	ACE	Launched
alafosfalin	bacterial cell wall synthesis inhibitor		Phase 1
alagebrium	glycosylation inhibitor		Phase 2/Phase 3
alanine		AARS, AARS2, ABAT, AGXT, AGXT2, GPRC6A, GPT, GPT2, KYNU, NFS1, PHYKPL, SLC1A4, SLC36A1, SLC7A8	Launched
alantolactone	apoptosis stimulant, STAT inhibitor	STAT3	Preclinical
alaproclate	serotonin receptor antagonist	SLC6A4	Phase 2
alarelin	gonadotropin releasing factor hormone receptor antagonist	GNRH1	Launched
albendazole	tubulin polymerization inhibitor	TUBA1A, TUBB, TUBB4B	Launched
albendazole-oxide	anthelmintic agent		Launched
albuterol	adrenergic receptor agonist	ADRB1, ADRB2	Launched
alcaftadine	histamine receptor antagonist	HRH1	Launched
alclofenac	cyclooxygenase inhibitor	PTGS1	Launched
alclometasone-dipropionate	glucocorticoid receptor agonist	CYP3A4, NR3C1, SERPINA6	Launched
alcuronium	muscle relaxant	CHRM1, CHRM2, CHRM3, CHRM4, CHRNA7	Launched
alda-1	aldehyde dehydrogenase activator	ALDH2	Preclinical
aldoxorubicin	topoisomerase inhibitor	TOP2A	Phase 3
alectinib	ALK tyrosine kinase receptor inhibitor	ALK, MET	Launched
alendronate	bone resorption inhibitor	ATP6V1A, FDPS, PTPN4, PTPRE, PTPRS	Launched
alexidine	phosphatidylglycerophosphatase inhibitor	PTPMT1	Preclinical
alfacalcidol	vitamin D receptor agonist	CYP27B1, VDR	Launched
alfadolone-acetate	benzodiazepine receptor agonist		Phase 2
alfaxalone	chloride channel agonist, benzodiazepine receptor agonist	GABBR1	Launched
alfuzosin	adrenergic receptor antagonist	ADRA1A, ADRA1B, ADRA1D, KCNH2	Launched
algestone-acetophenide			Launched
alibendol	antispasmodic		Launched
alimemazine	histamine receptor agonist	HRH1	Launched
alisertib	Aurora kinase inhibitor	AURKA	Phase 3
aliskiren-hemifumarate	renin inhibitor	REN	Launched
alizapride	dopamine receptor antagonist	DRD2	Launched
alizarin			Preclinical
allantoin	cosmetic		Launched
allicin	cytokine production inhibitor	TRPA1, TRPV1	Phase 2
allopregnanolone	GABA receptor positive allosteric modulator	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB2, GABRG2	Phase 2
allopurinol	xanthine oxidase inhibitor	XDH	Launched
allopurinol-riboside	anti-leishmanial agent		Phase 2
allylestrenol	steroidal progestin	ESR1, PGR, SLC6A9	Launched
allylisothiocyanate	TRPV agonist	TRPA1	Preclinical
allylthiourea	nitrification inhibitor		Preclinical
almitrine	neurotransmitter agonist	ATP1A1	Launched
almorexant	orexin receptor antagonist	HCRTR1, HCRTR2	Phase 3
almotriptan	serotonin receptor agonist	HTR1B, HTR1D	Launched
aloe-emodin	anticancer agent	CASP8	Preclinical
alogliptin	dipeptidyl peptidase inhibitor	DPP4	Launched
aloin	angiogenesis inhibitor		Preclinical
aloperine			Preclinical
alosetron	serotonin receptor antagonist	HTR3A	Withdrawn
aloxistatin	protease inhibitor	CTSG	Phase 3
alpelisib	PI3K inhibitor	PIK3CA, PIK3CB, PIK3CD, PIK3CG	Phase 3
alpha-Asarone	cytochrome P450 inhibitor, HMGCR inhibitor	HMGCR	Preclinical
alpha-D-glucopyranose			Preclinical
alpha-linolenic-acid	omega 3 fatty acid stimulant	ELOVL4, FADS1, FADS2, FFAR1, FFAR4, PTGS2, SLC8A1, TRPV1	Phase 3
alpha-methylhistamine-dihydrobromide-(R)-(-)	histamine receptor agonist	HRH3	Preclinical
alpha-methylhistamine-dihydrobromide-(S)-(+)	histamine receptor agonist	HRH3	Preclinical
alpha-methylserotonin	serotonin receptor agonist	HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR4	Preclinical
alpha-tochopherol	antioxidant		Launched
alpha-tochopheryl-acetate	antioxidant		Launched
alpidem	benzodiazepine receptor agonist	GABRA1	Withdrawn
alprenolol	adrenergic receptor antagonist	ADRB1, ADRB2, HTR1A	Launched
alprostadil	prostanoid receptor agonist	CATSPER1, CATSPER2, CATSPER3, CATSPER4, PTGDR, PTGER1, PTGER2, PTGER4, PTGIR	Launched
alrestatin	aldose reductase inhibitor	AKR1B1	Preclinical
ALS-8176	RNA polymerase inhibitor		Phase 1
altanserin	serotonin receptor antagonist	HTR2A	Phase 2
althiazide	diuretic		Launched
altinicline	nicotinic receptor agonist	CHRNA4, CHRNB2	Phase 2
altiratinib	VEGFR inhibitor, MET inhibitor	KDR, MET, TEK	Phase 1
altrenogest	progestogen hormone	PGR	Launched
altretamine	DNA synthesis inhibitor		Launched
alverine	muscle relaxant	HTR1A	Launched
alvespimycin	HSP inhibitor	HSP90AA1	Phase 2
alvimopan	opioid receptor antagonist	OPRD1, OPRK1, OPRM1	Launched
alvocidib	CDK inhibitor	CDK1, CDK2, CDK4, CDK5, CDK6, CDK7, CDK8, CDK9, EGFR, PYGM	Phase 2
ALX-5407	Glycine transporter 1 inhibitor	SLC6A9	Phase 1
AM-1241	cannabinoid receptor agonist	CNR1, CNR2	Preclinical
AM-24	lipoxygenase inhibitor	ALOX5	Phase 2
AM-251	cannabinoid receptor antagonist	CNR1, GPR18, GPR55	Preclinical
AM-281	cannabinoid receptor antagonist	CNR1, CNR2, GPR55	Preclinical
AM-404	cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist	CNR1, CNR2, FAAH, TRPV1	Preclinical
AM-580	retinoid receptor agonist	RARA	Preclinical
AM-630	cannabinoid receptor antagonist	CNR1, CNR2	Preclinical
AM-92016	potassium channel blocker	GRIN1	Preclinical
amantadine	glutamate receptor antagonist	DRD2, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A	Launched
ambazone	DNA damage inducer		Phase 1
ambenonium	cholinesterase inhibitor	ACHE	Launched
ambrisentan	endothelin receptor antagonist	EDNRA, EDNRB	Launched
ambroxol	sodium channel blocker	CYP3A4	Launched
amcinonide	glucocorticoid receptor agonist	ANXA1, NR3C1	Launched
AMD-3465	CC chemokine receptor antagonist	CXCR4	Preclinical
amdinocillin	bacterial cell wall synthesis inhibitor		Launched
AMD11070	CC chemokine receptor antagonist	CXCR4	Phase 1/Phase 2
ameltolide	anticonvulsant		Preclinical
amezinium	adrenergic receptor agonist	ADRB2	Launched
amfenac	cyclooxygenase inhibitor	PTGS1, PTGS2	Launched
amfepramone	adrenergic receptor agonist	SLC6A2, SLC6A3	Launched
amflutizole	xanthine oxidase inhibitor	XDH	Phase 2
AMG-PERK-44	PERK inhibitor	EIF2AK4	Preclinical
AMG-208	tyrosine kinase inhibitor	MET	Phase 1
AMG-232	MDM inhibitor	MDM2	Phase 1/Phase 2
AMG-319	PI3K inhibitor	PIK3CD	Phase 2
AMG-337	MET inhibitor	MET	Phase 2
AMG-487	CC chemokine receptor antagonist		Phase 2
AMG-487-(+/-)	CC chemokine receptor antagonist	CXCR3	Phase 2
AMG-517	TRPV antagonist	TRPV1	Phase 1
AMG-548	MAP kinase inhibitor	MAPK11, MAPK12, MAPK13, MAPK14	Phase 1
AMG-837	free fatty acid receptor agonist	FFAR1	Phase 1
AMG-925	CDK inhibitor, FLT3 inhibitor	CDK4, CDK6, FLT3	Phase 1
AMG-9810	TRPV antagonist	TRPV1	Preclinical
AMG319	PI3K inhibitor	PIK3CD	Phase 2
AMG458	MET inhibitor	MET	Preclinical
AMG900	Aurora kinase inhibitor	AURKA, AURKB, AURKC	Phase 1
AMI-1	protein arginine N-methyltransferase inhibitor	PRMT1	Preclinical
amibegron	adrenergic receptor agonist	ADRB3	Phase 3
amidopyrine	analgesic agent		Launched
amifampridine	potassium channel blocker		Launched
amiflamine	monoamine oxidase inhibitor	MAOA, SLC6A2	Phase 1
amifostine	reducing agent	ALPPL2, ENPP1	Launched
amikacin	bacterial 30S ribosomal subunit inhibitor		Launched
amiloride	sodium channel blocker	AOC1, ASIC1, ASIC2, ASIC3, PKD2, PKD2L1, PLAU, SCNN1A, SCNN1B, SCNN1D, SCNN1G, SLC9A1, TRPC7, TRPV2	Launched
amineptine	dopamine receptor agonist	SLC6A2, SLC6A4	Withdrawn
aminocaproic-acid	plasminogen activator inhibitor	LPA, PLAT, PLG	Launched
aminoglutethimide	glucocorticoid receptor antagonist	CYP11A1, CYP19A1	Launched
aminoguanidine	nitric oxide synthase inhibitor	NOS2	Phase 3
aminohydroxybutyric-acid			Launched
aminolevulinic-acid-benzyl-ester			Phase 1
aminomethyltransferase	nitric oxide synthase inhibitor	NOS2	Preclinical
aminopentamide	acetylcholine receptor antagonist	CHRM1	Launched
aminophylline	adenosine receptor antagonist	ADORA1, ADORA2A, ADORA2B, ADORA3, HDAC2, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D	Launched
aminopterin	dihydrofolate reductase inhibitor	DHFR, SLC46A1	Phase 3
aminopurvalanol-a	CDK inhibitor, tyrosine kinase inhibitor	CDK1, CDK2, CDK5, CDK6	Preclinical
aminosalicylate	cyclooxygenase inhibitor	ALOX5, CHUK, PLA2G2E, PTGS1, PTGS2	Launched
aminothiadiazole	inosine monophosphate dehydrogenase inhibitor	ADORA3, IMPDH1	Phase 2
aminothiazole	cyclin D inhibitor	NOS2	Preclinical
amiodarone	potassium channel blocker	ADRB1, CACNA1H, CACNA2D2, KCNA7, KCNH2	Launched
amiprilose	CD antagonist		Phase 3
amisulpride	dopamine receptor antagonist	DRD2, DRD3, HTR2A, HTR7	Launched
amitifadine	serotonin transporter (SERT) inhibitor	SLC6A2, SLC6A3, SLC6A4	Phase 3
amitraz	adrenergic receptor agonist	ADRA1A, ADRA2A	Launched
amitriptyline	norepinephrine inhibitor, norepinephrine reuptake inhibitor, serotonin receptor antagonist, serotonin–norepinephrine reuptake inhibitor (SNRI)	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR2A, HTR2C, HTR6, HTR7, KCNA1, KCND2, KCND3, KCNQ2, KCNQ3, NTRK1, NTRK2, OPRD1, OPRK1, OPRM1, SIGMAR1, SLC6A2, SLC6A4	Launched
amlexanox	histamine receptor modulator	FGF1, IL3, PDE4A, PDE4B, PDE4C, PDE4D, S100A12, S100A13	Launched
amlodipine	calcium channel blocker	CA1, CACNA1B, CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNA2D1, CACNA2D3, CACNB1, CACNB2, SMPD1	Launched
ammonium-glycyrrhizinate	thrombin inhibitor	HSD11B1, HSD11B2, SLCO1B1, SLCO1B3	Launched
ammonium-lactate		HCAR1	Launched
ammonium-perfluorocaprylate	Pim kinase inhibitor	PIM1	Phase 1
AMN-082	glutamate receptor modulator	GRM7	Preclinical
amodiaquine	histamine receptor agonist	HNMT	Launched
amonafide	topoisomerase inhibitor	TOP2A, TOP2B	Phase 3
amorolfine	membrane integrity inhibitor		Launched
amoxapine	norepinephrine reputake inhibitor	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, HRH1, HRH4, HTR1A, HTR1B, HTR2A, HTR2B, HTR2C, HTR3A, HTR6, HTR7, SLC6A2, SLC6A3, SLC6A4	Launched
amoxicillin	penicillin binding protein inhibitor	CYP2C19, SLC15A1, SLC15A2, SLC22A6	Launched
AMPA-(RS)	glutamate receptor agonist	GRIN1	Preclinical
AMPA-(S)	glutamate receptor agonist	GRIN1	Preclinical
ampalex	glutamate receptor agonist	GRIA1, GRIA2, GRIA3, GRIA4	Phase 2
amperozide	dopamine receptor antagonist	FAAH, HTR2A	Launched
amphotericin-b	membrane permeability enhancer		Launched
ampicillin	bacterial cell wall synthesis inhibitor		Launched
ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2	Launched
amprenavir	HIV protease inhibitor		Launched
amprolium	thiamine uptake blocker		Launched
ampyrone	cyclooxygenase inhibitor		Preclinical
amrinone	phosphodiesterase inhibitor	PDE3A, PDE3B, PDE4B, TNF	Launched
amrubicin	topoisomerase inhibitor	TOP2A, TOP2B	Launched
amsacrine	topoisomerase inhibitor	KCNH2, TOP2A	Launched
amthamine	histamine receptor agonist	HRH2	Preclinical
amtolmetin-guacil	cyclooxygenase inhibitor	PTGS1, PTGS2	Launched
amuvatinib	FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAD51 inhibitor, RET tyrosine kinase inhibitor	KIT, MET	Phase 2
amygdalin	caspase activator	CASP3	Phase 2
amyl-nitrite	atrial natriuretic peptide receptor agonist	NPR1	Preclinical
amyleine	local anesthetic		Preclinical
amylene-hydrate	local anesthetic		Preclinical
AMZ30	protein phosphatase inhibitor		Preclinical
AM679	cannabinoid receptor agonist, lipoxygenase inhibitor	ALOX5AP, CNR1, CNR2	Preclinical
ANA-12	tropomyosin receptor kinase inhibitor	NTRK2	Preclinical
anabasine	acetylcholine receptor agonist		Preclinical
anacetrapib	cholesteryl ester transfer protein inhibitor	CETP	Phase 3
anagliptin	dipeptidyl peptidase inhibitor	DPP4	Launched
anagrelide	phosphodiesterase inhibitor	PDE3A	Launched
anamorelin	growth hormone secretagogue receptor agonist	GHSR	Phase 3
anandamide	cannabinoid receptor agonist	CACNA1G, CACNA1H, CACNA1I, CNR1, CNR2, GLRA1, GPR18, GPR55, KCNA2, KCNK3, KCNK9, TRPM8, TRPV1	Phase 2
anastrozole	aromatase inhibitor	CYP19A1	Launched
andarine	androgen receptor modulator	AR	Phase 1
andrographolide	tumor necrosis factor production inhibitor	NFKB1	Phase 2
androstenone	steroid		Preclinical
androsterone	androgen receptor agonist		Preclinical
anecortave-acetate	angiogenesis inhibitor		Launched
anethole	glutathione transferase stimulant		Launched
anethole-trithione	glutathione transferase stimulant		Launched
anguidine	protein synthesis inhibitor	SLC5A1	Phase 2
anidulafungin	fungal 1,3-beta-D-glucan synthase inhibitor		Launched
aniracetam	glutamate receptor agonist	DRD2, GRIA1, GRIA2, GRIA3, GRIA4, HTR2A	Launched
anisindione	vitamin K antagonist	GGCX	Launched
anisodamine	lipid peroxidase inhibitor	ADRA1A	Phase 3
anisomycin	DNA synthesis inhibitor	NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1	Preclinical
anisotropine	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3	Launched
anlotinib	VEGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor	KDR, PDGFRB	Phase 2/Phase 3
anpirtoline	serotonin receptor agonist	HTR1B	Phase 1
ANR-94	A1 adenosine receptor antagonist	ADORA2A	Preclinical
ansamitocin-p-3	apoptosis stimulant		Preclinical
antagonist-g	neuropeptide receptor antagonist	MAPK8	Phase 1
antalarmin	corticosteroid releasing factor receptor antagonist	CRHR1	Preclinical
antazoline	antihistamine	HRH1	Launched
anthralin	DNA synthesis inhibitor		Launched
anthranilic-acid			Preclinical
anthraquinone	CDC inhibitor	CDC25B	Preclinical
antimony-potassium			Phase 2
antimonyl			Phase 1
antimycin-a	ATP synthase inhibitor	CYCS	Preclinical
antioxine			Launched
AN2718	leucyl-tRNA synthetase inhibitor		Phase 1
AP-18	transient receptor potential channel antagonist	TRPA1	Preclinical
apabetalone	apolipoprotein expression enhancer	BRD3	Phase 3
apafant	platelet activating factor receptor antagonist	PTAFR	Phase 3
apalutamide	androgen receptor antagonist		Launched
apatinib	RET tyrosine kinase inhibitor	CSK, KDR, KIT, RET	Phase 3
