genes,bHCsmB_S1R1,bHCsmB_S1R2,bHCsmB_S1R3,bSLEsmB_S1R1,bSLEsmB_S1R2,bSLEsmB_S1R3
ENSG00000248722,0,0,0,0,0,0
ENSG00000248724,1,0,0,3,0,0
ENSG00000248725,0,0,0,0,0,0
ENSG00000248727,98,64,36,26,62,60
ENSG00000248729,2,0,3,4,6,4
ENSG00000248730,0,0,0,0,0,0
ENSG00000248733,0,0,0,0,0,0
ENSG00000248734,246,157,31,83,196,87
ENSG00000248735,0,0,0,3,0,0
ENSG00000248736,0,0,0,0,0,0
ENSG00000248738,13,4,0,2,95,2
ENSG00000248739,0,0,0,0,0,0
ENSG00000248740,1,0,0,0,0,0
ENSG00000248744,0,0,0,0,0,0
ENSG00000248745,0,0,0,0,0,0
ENSG00000248746,0,3,0,0,0,0
ENSG00000248747,1,0,0,1,0,0
ENSG00000248748,0,0,0,7,0,1
ENSG00000248749,0,0,0,0,0,0
ENSG00000248750,0,0,0,0,0,0
ENSG00000248751,0,0,0,0,0,0
ENSG00000248752,0,0,0,10,0,0
ENSG00000248753,0,0,0,0,0,0
ENSG00000248755,0,0,0,0,0,0
ENSG00000248757,0,0,0,0,0,0
ENSG00000248758,2,2,4,5,0,0
ENSG00000248761,0,0,0,0,0,0
ENSG00000248762,0,0,0,0,0,0
ENSG00000248763,0,0,0,0,0,0
ENSG00000248764,0,0,0,1,0,0
ENSG00000248765,0,0,0,9,1,0
ENSG00000248766,0,0,0,0,0,0
ENSG00000248767,0,0,0,0,0,0
ENSG00000248769,0,0,0,0,0,0
ENSG00000248770,0,0,0,0,0,0
ENSG00000248771,3,0,1,0,0,0
ENSG00000248772,0,0,0,0,0,0
ENSG00000248773,14,5,13,10,8,23
ENSG00000248774,3,0,0,6,0,0
ENSG00000248775,0,0,0,0,0,0
ENSG00000248777,7,0,0,0,0,0
ENSG00000248778,0,0,0,0,0,0
ENSG00000248779,0,0,0,0,0,0
ENSG00000248780,0,0,0,2,0,0
ENSG00000248781,0,0,0,0,0,0
ENSG00000248783,0,0,0,0,0,0
ENSG00000248785,15,5,3,9,11,11
ENSG00000248787,1,1,0,0,0,0
ENSG00000248789,0,0,0,1,0,0
ENSG00000248790,8,0,0,1,0,1
ENSG00000248791,0,0,0,0,0,0
ENSG00000248792,0,0,0,0,0,0
ENSG00000248794,2,2,1,3,3,2
ENSG00000248795,1,0,0,0,1,0
ENSG00000248796,0,0,0,0,0,0
ENSG00000248799,0,0,0,1,0,0
ENSG00000248801,0,1,0,4,0,0
ENSG00000248802,0,0,0,0,0,0
ENSG00000248803,19,0,3,1,0,4
ENSG00000248807,0,0,0,0,0,0
ENSG00000248809,0,0,1,1,0,0
ENSG00000248810,1,3,0,2,0,0
ENSG00000248813,0,0,0,0,0,0
ENSG00000248816,0,0,0,0,0,0
ENSG00000248817,0,0,0,0,0,0
ENSG00000248820,0,0,0,0,0,0
ENSG00000248821,0,0,0,0,0,0
ENSG00000248822,0,0,0,0,0,0
ENSG00000248824,0,0,0,0,0,0
ENSG00000248826,0,0,0,0,0,0
ENSG00000248827,0,0,2,1,0,0
ENSG00000248830,0,0,0,1,0,0
ENSG00000248831,28,2,0,1,0,0
ENSG00000248834,0,0,0,0,0,0
ENSG00000248837,0,0,0,0,1,0
ENSG00000248838,0,0,0,0,0,0
ENSG00000248839,0,0,0,0,0,0
ENSG00000248840,0,0,0,1,0,1
ENSG00000248842,0,0,0,0,0,0
ENSG00000248843,0,0,0,3,0,0
ENSG00000248844,0,1,0,3,0,0
ENSG00000248846,0,8,0,0,0,0
ENSG00000248847,0,0,0,0,0,0
ENSG00000248848,0,0,0,1,0,0
ENSG00000248850,0,0,0,1,0,0
ENSG00000248851,0,0,0,7,0,0
ENSG00000248853,0,0,0,0,0,0
ENSG00000248854,1,8,1,1,4,1
ENSG00000248858,45,3,2,13,10,0
ENSG00000248859,0,0,1,0,0,0
ENSG00000248863,35,16,16,10,47,22
ENSG00000248866,2,9,9,9,12,3
ENSG00000248867,0,0,0,0,0,0
ENSG00000248869,0,3,0,1,0,1
ENSG00000248870,0,0,0,0,0,0
ENSG00000248871,0,0,0,0,0,0
ENSG00000248872,0,0,0,0,0,0
ENSG00000248873,0,1,0,0,0,0
ENSG00000248874,21,0,0,1,0,0
ENSG00000248876,0,0,0,0,0,0
ENSG00000248877,0,0,0,0,0,0
ENSG00000248878,0,0,0,0,0,0
ENSG00000248880,0,1,0,1,3,0
ENSG00000248881,0,0,0,0,0,0
ENSG00000248883,0,0,0,0,0,0
ENSG00000248884,3,0,0,0,0,0
ENSG00000248885,29,24,18,12,65,35
ENSG00000248886,1,0,0,0,0,0
ENSG00000248890,0,0,0,0,0,0
ENSG00000248891,0,0,0,0,0,0
ENSG00000248893,0,0,0,0,0,0
ENSG00000248895,0,0,0,0,0,0
ENSG00000248896,14,9,1,10,25,9
ENSG00000248898,0,0,0,0,0,0
ENSG00000248901,0,0,0,0,0,0
ENSG00000248903,0,0,0,0,0,0
ENSG00000248905,3,9,4,22,6,4
ENSG00000248907,0,0,0,6,0,0
ENSG00000248908,0,0,0,0,0,0
ENSG00000248909,3,6,4,3,0,5
ENSG00000248911,0,0,4,0,0,0
ENSG00000248912,0,0,0,0,0,0
ENSG00000248913,0,0,0,0,0,0
ENSG00000248915,0,0,0,0,0,0
ENSG00000248916,0,0,0,0,0,0
ENSG00000248918,0,0,0,0,0,0
ENSG00000248919,0,0,0,0,1,0
ENSG00000248920,0,0,0,0,0,0
ENSG00000248921,0,0,0,0,0,0
ENSG00000248923,351,7,52,33,17,25
ENSG00000248924,0,0,0,0,0,0
ENSG00000248925,3,0,1,4,7,0
ENSG00000248926,6,1,1,4,54,0
ENSG00000248927,0,0,0,1,0,0
ENSG00000248928,0,0,0,0,0,0
ENSG00000248929,0,0,0,0,0,0
ENSG00000248930,0,0,0,4,0,0
ENSG00000248931,0,0,0,0,0,0
ENSG00000248932,65,49,44,38,7,26
ENSG00000248933,0,0,0,0,0,0
ENSG00000248935,1,1,4,2,7,1
ENSG00000248936,0,0,0,1,0,0
ENSG00000248939,1,0,0,0,0,0
ENSG00000248942,0,0,0,2,0,1
ENSG00000248943,0,1,0,0,0,0
ENSG00000248944,0,0,0,0,0,0
ENSG00000248946,0,0,0,0,0,1
ENSG00000248949,0,0,0,0,0,0
ENSG00000248950,0,0,0,0,0,0
ENSG00000248951,1,0,0,0,0,0
ENSG00000248954,2,0,1,0,0,0
ENSG00000248955,0,0,0,0,0,0
ENSG00000248956,0,0,1,5,16,0
ENSG00000248958,0,0,0,1,0,0
ENSG00000248962,0,0,0,0,0,0
ENSG00000248964,0,0,0,2,0,3
ENSG00000248965,0,0,0,0,0,0
ENSG00000248966,8,4,2,6,3,5
ENSG00000248967,5,2,0,4,5,2
ENSG00000248968,0,1,0,3,0,4
ENSG00000248969,0,0,0,0,0,0
ENSG00000248971,51,12,6,16,28,21
ENSG00000248973,1,0,0,1,0,0
ENSG00000248975,0,1,0,2,1,0
ENSG00000248977,0,3,2,0,0,0
ENSG00000248978,0,0,0,0,0,0
ENSG00000248979,8,3,2,1,11,9
ENSG00000248980,1,0,0,1,0,4
ENSG00000248984,3,0,0,0,6,0
ENSG00000248987,0,0,0,0,0,0
ENSG00000248988,2,4,1,3,0,2
ENSG00000248990,0,0,0,0,0,0
ENSG00000248991,0,0,0,0,0,0
ENSG00000248993,0,0,0,0,0,0
ENSG00000248994,0,0,0,0,0,1
ENSG00000248995,0,0,0,0,0,0
ENSG00000248996,0,0,0,0,0,0
ENSG00000248998,0,0,0,0,0,0
ENSG00000249000,0,0,0,1,0,0
ENSG00000249001,0,0,0,1,0,0
ENSG00000249002,0,0,0,0,38,0
ENSG00000249003,0,0,0,0,1,0
ENSG00000249004,0,0,0,0,0,0
ENSG00000249005,0,0,0,0,0,0
ENSG00000249006,4,0,0,0,0,0
ENSG00000249007,0,0,0,1,0,0
ENSG00000249008,1,0,0,0,0,0
ENSG00000249012,0,0,0,0,0,0
ENSG00000249013,0,0,0,1,0,0
ENSG00000249014,0,0,0,0,0,0
ENSG00000249016,0,0,0,0,0,0
ENSG00000249017,0,0,0,2,0,0
ENSG00000249018,0,0,0,0,0,0
ENSG00000249019,22,12,15,11,29,16
ENSG00000249020,0,4,0,0,0,0
ENSG00000249021,0,0,0,0,0,0
ENSG00000249022,1,4,4,6,20,0
ENSG00000249023,0,0,0,0,0,0
ENSG00000249025,0,0,0,0,0,0
ENSG00000249026,0,0,0,0,0,0
ENSG00000249028,55,17,1,15,116,25
ENSG00000249031,0,1,0,0,0,0
ENSG00000249035,2,6,1,12,1,0
ENSG00000249036,4,0,0,0,0,0
ENSG00000249038,0,0,0,0,0,0
ENSG00000249041,0,0,0,1,0,0
ENSG00000249042,21,31,25,13,58,41
ENSG00000249045,0,0,0,2,0,0
ENSG00000249047,0,1,3,0,4,0
ENSG00000249048,0,0,0,0,0,1
ENSG00000249049,3,1,1,0,0,0
ENSG00000249050,0,0,0,0,0,0
ENSG00000249051,0,0,0,0,0,0
ENSG00000249052,0,0,0,1,0,0
ENSG00000249053,0,0,0,0,0,0
ENSG00000249054,0,0,0,0,0,0
ENSG00000249055,8,0,1,6,1,13
ENSG00000249056,0,0,0,2,0,0
ENSG00000249057,5,0,1,0,0,0
ENSG00000249061,1,0,3,0,0,0
ENSG00000249064,0,0,0,0,0,0
ENSG00000249065,1,0,0,0,0,0
ENSG00000249066,0,0,0,0,0,0
ENSG00000249068,80,27,8,32,100,0
ENSG00000249069,0,4,0,3,1,0
ENSG00000249071,0,0,0,0,0,0
ENSG00000249072,60,44,36,74,120,45
ENSG00000249073,0,0,0,0,0,0
ENSG00000249074,0,0,0,0,0,0
ENSG00000249077,1,0,0,2,0,1
ENSG00000249079,0,0,0,0,0,0
ENSG00000249081,0,0,0,0,0,0
ENSG00000249082,0,0,0,0,0,0
ENSG00000249084,0,0,0,0,0,0
ENSG00000249085,0,0,0,0,0,0
ENSG00000249086,0,0,0,0,0,0
ENSG00000249087,4,1,4,9,20,0
ENSG00000249089,87,26,0,10,51,28
ENSG00000249091,0,0,0,0,0,0
ENSG00000249092,0,1,0,3,1,2
ENSG00000249094,0,0,0,0,0,0
ENSG00000249096,64,25,14,39,247,81
ENSG00000249098,5,7,0,0,1,0
ENSG00000249099,0,0,0,0,0,0
ENSG00000249100,0,0,1,0,0,0
ENSG00000249101,0,0,0,1,0,0
ENSG00000249102,0,0,0,0,0,0
ENSG00000249104,0,0,0,0,0,0
ENSG00000249105,0,0,0,0,0,0
ENSG00000249106,1,0,2,0,0,0
ENSG00000249109,0,0,3,0,0,0
ENSG00000249111,0,0,0,0,0,0
ENSG00000249112,2,0,1,1,16,0
ENSG00000249114,0,0,0,0,0,0
ENSG00000249115,419,571,163,499,464,158
ENSG00000249116,0,0,0,3,0,0
ENSG00000249119,20,7,18,10,11,3
ENSG00000249122,0,0,1,0,0,0
ENSG00000249125,0,0,0,0,0,0
ENSG00000249127,0,0,0,0,0,0
ENSG00000249128,0,0,0,0,0,0
ENSG00000249129,3,1,2,0,0,0
ENSG00000249131,2,1,0,0,1,0
ENSG00000249135,0,0,0,0,0,0
ENSG00000249138,19,11,3,0,1,8
ENSG00000249139,0,0,0,2,0,0
ENSG00000249140,5,7,14,9,0,3
ENSG00000249141,0,0,1,0,0,3
ENSG00000249142,1,3,0,0,0,0
ENSG00000249145,0,0,0,0,0,0
ENSG00000249148,3,1,0,0,36,2
ENSG00000249149,0,0,0,0,0,0
ENSG00000249150,0,0,0,0,0,0
ENSG00000249152,0,0,0,0,0,0
ENSG00000249153,0,0,0,0,0,0
ENSG00000249156,0,0,0,0,0,0
ENSG00000249157,0,0,0,0,0,0
ENSG00000249158,0,0,0,0,0,0
ENSG00000249159,1,0,1,0,11,0
ENSG00000249160,0,0,0,0,0,0
ENSG00000249162,0,0,0,0,0,0
ENSG00000249163,0,0,0,0,0,0
ENSG00000249166,0,0,0,0,0,0
ENSG00000249167,0,8,1,0,0,0
ENSG00000249169,0,0,0,0,0,0
ENSG00000249170,0,0,0,0,1,0
ENSG00000249171,0,0,0,0,0,0
ENSG00000249173,0,0,1,1,7,0
ENSG00000249174,0,0,0,0,0,0
ENSG00000249175,0,0,3,0,0,0
ENSG00000249176,0,0,0,0,0,0
ENSG00000249177,0,0,0,1,0,0
ENSG00000249180,9,5,0,8,23,17
ENSG00000249183,0,0,0,0,0,0
ENSG00000249184,0,0,0,1,0,0
ENSG00000249186,0,0,0,0,0,0
ENSG00000249188,3,0,2,0,0,1
ENSG00000249189,0,0,0,0,0,0
ENSG00000249191,0,0,0,0,0,0
ENSG00000249192,0,2,2,1,0,0
ENSG00000249193,1,0,0,8,2,2
ENSG00000249196,1,0,0,0,0,0
ENSG00000249197,0,0,0,2,0,0
ENSG00000249198,0,0,0,1,0,0
ENSG00000249199,0,0,0,0,0,0
ENSG00000249200,0,0,0,0,0,0
ENSG00000249201,0,0,0,0,0,0
ENSG00000249203,0,0,0,0,0,0
ENSG00000249206,0,0,0,0,0,0
ENSG00000249207,329,138,120,95,188,137
ENSG00000249209,0,0,0,0,0,0
ENSG00000249210,3,1,0,1,1,2
ENSG00000249212,7,4,11,19,7,2
ENSG00000249213,0,0,0,0,0,0
ENSG00000249215,0,0,1,2,0,1
ENSG00000249216,0,0,0,1,0,0
ENSG00000249219,0,0,0,0,0,0
ENSG00000249222,46,32,18,38,54,28
ENSG00000249225,0,0,0,0,0,0
ENSG00000249226,0,0,0,0,0,0
ENSG00000249228,0,0,0,0,0,0
ENSG00000249229,0,0,0,0,0,0
ENSG00000249230,0,0,0,0,0,0
ENSG00000249231,0,0,0,0,0,0
ENSG00000249234,5,2,0,1,1,1
ENSG00000249235,0,0,0,0,0,0
ENSG00000249236,1,4,0,0,10,4
ENSG00000249237,0,0,0,0,0,0
ENSG00000249238,0,0,0,18,0,0
ENSG00000249239,1,2,0,2,2,2
ENSG00000249240,0,0,0,2,0,0
ENSG00000249241,0,0,1,0,0,0
ENSG00000249242,18,1,5,0,9,16
ENSG00000249244,2,6,0,8,0,7
ENSG00000249245,1,0,2,11,24,28
ENSG00000249247,0,1,0,12,0,0
ENSG00000249249,169,273,110,189,214,232
ENSG00000249252,20,8,16,15,51,5
ENSG00000249253,0,0,0,0,0,0
ENSG00000249255,0,0,0,0,0,0
ENSG00000249256,0,0,0,1,1,0
ENSG00000249257,0,0,0,0,0,0
ENSG00000249258,2,9,24,9,4,1
ENSG00000249259,0,0,0,0,0,0
ENSG00000249261,0,0,0,2,0,0
ENSG00000249262,0,0,0,0,0,0
ENSG00000249263,0,0,0,0,0,0
ENSG00000249264,27,40,12,19,28,30
ENSG00000249266,0,0,0,0,0,0
ENSG00000249267,1,0,0,0,0,0
ENSG00000249269,0,0,0,0,0,0
ENSG00000249270,0,0,0,0,0,0
ENSG00000249271,0,1,1,1,0,0
ENSG00000249272,0,0,0,0,0,0
ENSG00000249274,0,0,0,0,0,0
ENSG00000249275,0,0,0,1,0,0
ENSG00000249276,0,0,0,0,0,0
ENSG00000249277,0,0,0,0,0,2
ENSG00000249278,0,0,0,0,0,0
ENSG00000249279,0,0,0,0,0,0
ENSG00000249282,0,0,0,0,0,0
ENSG00000249283,10,7,0,2,0,0
ENSG00000249284,0,0,0,0,0,0
ENSG00000249285,0,0,0,0,0,0
ENSG00000249286,0,0,0,0,0,0
ENSG00000249287,0,0,0,0,0,0
ENSG00000249288,0,0,0,0,0,0
ENSG00000249289,0,0,0,0,0,0
ENSG00000249290,0,0,0,0,0,0
ENSG00000249293,0,0,1,0,0,0
ENSG00000249295,0,0,0,0,0,0
ENSG00000249297,0,4,0,0,0,0
ENSG00000249301,0,0,0,1,0,0
ENSG00000249302,5,7,0,3,42,6
ENSG00000249304,0,0,0,1,0,0
ENSG00000249305,0,0,0,0,0,0
ENSG00000249306,0,0,0,1,0,0
ENSG00000249307,1,0,2,3,0,0
ENSG00000249309,0,0,2,0,0,0
ENSG00000249310,0,0,0,0,0,0
ENSG00000249311,1,0,0,0,0,0
ENSG00000249312,0,0,0,0,0,0
ENSG00000249316,0,0,0,0,0,0
ENSG00000249317,0,0,0,0,0,0
ENSG00000249318,10,1,2,4,12,0
ENSG00000249319,0,0,0,0,0,0
ENSG00000249320,0,0,0,0,0,0
ENSG00000249321,0,0,0,2,0,0
ENSG00000249326,0,0,0,0,0,0
ENSG00000249328,0,0,0,3,0,0
ENSG00000249330,0,0,0,2,0,0
ENSG00000249332,2,0,0,0,2,0
ENSG00000249333,1,0,3,0,8,0
ENSG00000249334,0,0,0,0,0,0
ENSG00000249335,2,0,0,0,0,0
ENSG00000249337,0,0,0,0,0,0
ENSG00000249338,0,0,0,0,0,0
ENSG00000249341,0,0,0,0,0,0
ENSG00000249343,0,0,0,3,0,0
ENSG00000249345,0,0,0,1,0,0
ENSG00000249346,0,0,0,0,0,0
ENSG00000249347,0,0,0,0,0,0
ENSG00000249348,13,3,1,15,27,3
ENSG00000249349,0,0,0,0,0,0
ENSG00000249351,0,0,0,0,0,0
ENSG00000249352,0,0,0,0,0,0
ENSG00000249353,96,79,31,89,63,40
ENSG00000249359,0,0,0,3,1,0
ENSG00000249360,0,0,0,0,0,0
ENSG00000249362,0,0,0,0,0,0
ENSG00000249363,0,0,0,1,16,0
ENSG00000249364,2,0,1,0,0,1
ENSG00000249367,0,0,0,0,0,0
ENSG00000249368,0,0,0,0,0,0
ENSG00000249372,29,1,3,7,32,0
ENSG00000249373,0,0,0,0,0,0
ENSG00000249375,0,0,2,1,0,0
ENSG00000249378,0,0,1,0,1,0
ENSG00000249379,14,3,2,9,28,1
ENSG00000249380,0,0,0,0,0,0
ENSG00000249381,0,0,0,0,0,0
ENSG00000249382,0,0,0,0,0,0
ENSG00000249383,5,0,0,0,0,0
ENSG00000249386,0,0,0,3,0,0
ENSG00000249387,0,0,0,0,0,0
ENSG00000249388,1,1,2,4,2,0
ENSG00000249392,1,0,0,0,0,0
ENSG00000249395,2,0,1,3,0,0
ENSG00000249396,0,0,0,6,0,0
ENSG00000249400,0,0,0,0,0,0
ENSG00000249403,0,0,0,0,0,0
ENSG00000249404,0,0,0,0,0,0
ENSG00000249405,3,0,6,0,10,0
ENSG00000249406,0,0,0,0,1,0
ENSG00000249407,12,0,12,3,4,1
ENSG00000249409,0,0,0,0,0,0
ENSG00000249410,0,0,0,0,0,0
ENSG00000249411,0,0,0,0,0,0
ENSG00000249412,3,2,1,9,0,1
ENSG00000249413,0,0,0,0,0,0
ENSG00000249416,0,0,0,0,0,0
ENSG00000249417,0,0,0,0,1,4
ENSG00000249418,0,0,0,0,0,0
ENSG00000249419,0,0,0,0,0,0
ENSG00000249421,0,0,0,0,0,0
ENSG00000249425,0,0,0,0,0,0
ENSG00000249426,3,6,0,2,0,10
ENSG00000249429,0,0,0,0,0,0
ENSG00000249433,0,0,0,0,0,0
ENSG00000249435,0,0,0,0,0,0
ENSG00000249436,1,0,5,18,0,2
ENSG00000249437,6,9,0,1,7,2
ENSG00000249438,0,0,0,0,0,0
ENSG00000249439,0,3,0,0,0,0
ENSG00000249441,0,0,0,0,0,0
ENSG00000249443,0,0,0,0,0,0
ENSG00000249444,0,0,0,0,0,0
ENSG00000249446,0,0,0,0,0,0
ENSG00000249448,1,0,0,6,1,0
ENSG00000249449,0,0,0,0,0,0
ENSG00000249451,0,0,0,0,1,0
ENSG00000249452,2,1,0,0,0,0
ENSG00000249453,0,0,0,0,0,0
ENSG00000249454,0,0,0,1,0,0
ENSG00000249456,0,0,0,0,0,0
ENSG00000249458,0,0,0,0,0,0
ENSG00000249459,19,7,14,16,15,6
ENSG00000249460,0,0,0,0,0,0
ENSG00000249462,0,0,0,0,0,0
ENSG00000249463,0,0,0,0,5,0
ENSG00000249464,0,3,1,8,0,0
ENSG00000249465,2,8,1,0,0,0
ENSG00000249467,0,0,0,0,0,0
ENSG00000249471,40,17,8,17,20,22
ENSG00000249472,0,0,0,0,0,0
ENSG00000249474,0,0,0,0,0,0
ENSG00000249476,364,161,100,109,403,248
ENSG00000249478,0,0,0,0,0,0
ENSG00000249479,0,0,0,0,0,0
ENSG00000249481,2,0,0,0,0,0
ENSG00000249482,0,0,0,0,0,0
ENSG00000249483,0,0,0,0,0,0
ENSG00000249484,0,0,0,1,0,0
ENSG00000249485,21,6,1,3,17,0
ENSG00000249486,0,0,0,0,0,0
ENSG00000249487,2,2,5,0,0,1
ENSG00000249488,0,1,0,0,3,0
ENSG00000249489,0,0,1,3,1,0
ENSG00000249490,0,0,0,0,1,0
ENSG00000249491,0,0,0,0,0,0
ENSG00000249492,59,17,9,63,5,4
ENSG00000249493,0,0,0,1,0,0
ENSG00000249494,2,0,1,0,4,0
ENSG00000249495,3,0,0,0,0,0
ENSG00000249497,1,0,0,5,0,0
ENSG00000249500,0,0,0,0,0,0
ENSG00000249501,0,0,0,0,0,0
ENSG00000249502,27,18,13,20,94,56
ENSG00000249503,0,0,0,0,0,0
ENSG00000249504,0,0,0,0,0,0
ENSG00000249505,0,0,0,0,0,0
ENSG00000249506,0,0,1,0,0,0
ENSG00000249509,0,0,0,2,0,0
ENSG00000249510,0,1,0,0,0,0
ENSG00000249513,0,0,0,0,0,0
ENSG00000249514,0,0,0,0,0,0
ENSG00000249515,0,0,0,0,0,0
ENSG00000249516,0,0,0,0,7,0
ENSG00000249518,0,0,1,0,0,0
ENSG00000249519,0,0,0,0,0,0
ENSG00000249520,0,0,0,0,0,0
ENSG00000249521,0,0,0,0,0,0
ENSG00000249522,0,0,0,0,0,0
ENSG00000249525,0,0,0,0,0,0
ENSG00000249526,1,6,0,1,4,11
ENSG00000249531,0,0,0,0,0,0
ENSG00000249532,25,53,13,37,26,21
ENSG00000249534,0,0,0,7,0,0
ENSG00000249539,0,0,0,0,0,0
ENSG00000249540,0,0,0,0,0,0
ENSG00000249541,0,0,1,2,0,1
ENSG00000249542,0,1,1,0,0,0
ENSG00000249545,0,0,0,0,0,0
ENSG00000249547,0,0,0,0,0,0
ENSG00000249550,1,1,0,4,1,0
ENSG00000249551,0,0,0,0,0,0
ENSG00000249553,0,0,0,0,0,0
ENSG00000249555,0,0,0,0,0,0
ENSG00000249557,0,0,0,0,0,0
ENSG00000249558,0,3,0,2,10,9
ENSG00000249562,0,0,0,0,0,0
ENSG00000249563,0,0,0,0,0,0
ENSG00000249564,0,0,0,0,0,0
ENSG00000249565,1,2,6,4,4,5
ENSG00000249568,0,0,0,0,0,0
ENSG00000249572,17,19,1,12,11,0
ENSG00000249574,0,2,0,0,0,0
ENSG00000249577,0,0,0,0,0,0
ENSG00000249579,0,0,0,0,0,0
ENSG00000249580,0,0,0,0,0,1
ENSG00000249581,0,0,0,2,0,0
ENSG00000249582,0,0,0,0,0,0
ENSG00000249584,2,0,0,0,1,0
ENSG00000249588,0,0,0,0,0,0
ENSG00000249590,0,0,0,0,0,0
ENSG00000249592,117,100,50,130,297,38
ENSG00000249593,41,7,26,16,3,25
ENSG00000249599,0,0,0,0,0,0
ENSG00000249600,0,0,0,0,0,0
ENSG00000249601,0,0,0,0,0,0
ENSG00000249602,0,1,0,0,0,0
ENSG00000249604,67,48,22,40,46,3
ENSG00000249605,0,0,0,0,0,0
ENSG00000249606,0,0,0,0,0,0
ENSG00000249607,0,0,0,0,0,0
ENSG00000249609,0,0,0,0,0,0
ENSG00000249610,4,0,0,0,0,0
ENSG00000249613,0,0,0,0,0,0
ENSG00000249614,1,0,0,1,0,0
ENSG00000249616,0,0,0,0,0,0
ENSG00000249617,0,0,0,0,0,0
ENSG00000249618,0,5,0,3,0,0
ENSG00000249619,0,0,0,0,0,0
ENSG00000249620,0,0,0,0,0,0
ENSG00000249621,0,0,0,0,0,0
ENSG00000249623,0,0,0,0,0,0
ENSG00000249624,13,1,3,7,6,8
ENSG00000249626,0,7,1,1,0,0
ENSG00000249627,0,0,0,0,0,0
ENSG00000249628,0,0,0,0,0,0
ENSG00000249631,1,1,0,2,0,1
ENSG00000249633,0,0,0,3,0,0
ENSG00000249634,0,0,0,0,0,0
ENSG00000249635,12,2,2,3,4,2
ENSG00000249637,18,12,1,23,4,1
ENSG00000249638,0,0,0,0,0,0
ENSG00000249639,0,0,0,0,0,0
ENSG00000249641,0,0,0,0,0,0
ENSG00000249642,0,0,0,0,0,0
ENSG00000249646,2,10,4,5,0,32
ENSG00000249647,0,0,0,1,0,0
ENSG00000249649,7,0,1,0,0,0
ENSG00000249650,0,0,0,0,0,0
ENSG00000249654,0,0,0,0,0,0
ENSG00000249655,5,7,6,3,5,2
ENSG00000249658,0,0,0,0,0,0
ENSG00000249661,280,105,51,42,42,37
ENSG00000249662,0,0,0,0,0,0
ENSG00000249664,6,1,2,0,0,16
ENSG00000249667,0,0,2,0,1,0
ENSG00000249668,0,0,0,0,0,0
ENSG00000249669,0,1,1,8,0,0
ENSG00000249673,261,217,84,193,204,145
ENSG00000249675,0,0,0,0,0,0
ENSG00000249678,0,0,0,0,0,0
ENSG00000249679,3,13,1,8,4,0
ENSG00000249680,0,0,0,0,0,0
ENSG00000249681,0,0,0,0,0,0
ENSG00000249684,47,22,10,18,5,2
ENSG00000249685,47,32,22,47,81,6
ENSG00000249686,0,0,0,0,0,0
ENSG00000249688,0,0,0,0,0,0
ENSG00000249689,0,0,0,0,0,0
ENSG00000249690,163,21,18,41,75,26
ENSG00000249691,10,0,0,0,1,0
ENSG00000249692,1,0,0,0,0,0
ENSG00000249693,7,0,0,0,0,0
ENSG00000249695,0,0,0,0,0,0
ENSG00000249697,0,0,0,0,0,0
ENSG00000249698,1,0,0,3,0,0
ENSG00000249699,4,0,0,0,0,1
ENSG00000249700,3,3,0,0,0,5
ENSG00000249706,1,0,0,0,0,0
ENSG00000249708,0,0,0,0,0,0
ENSG00000249709,21,33,13,42,53,8
ENSG00000249710,0,0,0,0,0,0
ENSG00000249713,22,8,8,3,1,3
ENSG00000249715,1,1,0,3,0,4
ENSG00000249717,120,73,40,134,209,104
ENSG00000249721,0,0,0,0,0,0
ENSG00000249722,0,0,0,0,0,0
ENSG00000249725,0,0,0,0,0,0
ENSG00000249726,0,0,0,0,0,0
ENSG00000249727,0,0,0,0,0,0
ENSG00000249729,0,0,1,4,0,0
ENSG00000249730,0,0,0,0,0,0
ENSG00000249731,0,0,0,0,0,0
ENSG00000249735,0,0,0,0,0,0
ENSG00000249736,0,0,0,0,0,3
ENSG00000249737,1,0,0,0,0,1
ENSG00000249738,617,115,70,169,513,201
ENSG00000249740,0,0,0,4,0,0
ENSG00000249741,9,26,5,5,0,0
ENSG00000249742,0,0,0,0,0,0
ENSG00000249743,0,1,0,14,0,0
ENSG00000249744,0,0,0,0,0,0
ENSG00000249745,0,0,0,0,0,0
ENSG00000249746,0,0,0,0,0,0
ENSG00000249747,0,0,1,2,0,0
ENSG00000249748,0,0,0,0,0,0
ENSG00000249751,0,0,0,0,0,0
ENSG00000249752,0,0,0,3,0,0
ENSG00000249753,11,5,0,2,20,0
ENSG00000249754,0,0,0,0,0,0
ENSG00000249755,0,0,0,0,1,0
ENSG00000249761,0,0,0,0,0,0
ENSG00000249763,0,0,0,0,0,0
ENSG00000249764,0,0,0,0,0,0
ENSG00000249766,0,0,0,0,0,0
ENSG00000249767,0,2,0,0,0,0
ENSG00000249768,0,0,0,0,0,0
ENSG00000249770,0,0,0,11,0,0
ENSG00000249771,1,0,0,2,0,0
ENSG00000249772,0,0,0,0,0,0
ENSG00000249773,0,0,0,0,0,0
ENSG00000249774,2,0,2,0,0,0
ENSG00000249776,0,0,0,0,0,0
ENSG00000249777,0,0,0,0,0,0
ENSG00000249778,0,0,0,0,0,0
ENSG00000249779,0,0,0,0,1,1
ENSG00000249780,14,0,4,2,10,6
ENSG00000249781,0,0,0,0,0,0
