genes,smB_S1R1,smB_S1R2,smB_S1R3,smB_S1R4,smB_S2R1,smB_S2R2,smB_S2R3
ENSG00000007312,2996,2752,3772,3082,3295,5898,4899
ENSG00000007314,6,51,0,0,50,10,37
ENSG00000007341,138,170,169,117,166,111,163
ENSG00000007350,0,18,52,7,0,0,5
ENSG00000007372,24,2,0,0,0,0,0
ENSG00000007376,584,94,92,292,374,373,379
ENSG00000007384,0,0,1,0,0,0,0
ENSG00000007392,1764,1047,1011,1174,1624,1339,1098
ENSG00000007402,16,11,19,10,14,20,12
ENSG00000007516,2986,3800,2155,1435,552,187,401
ENSG00000007520,77,3,4,54,32,10,45
ENSG00000007541,572,334,408,360,367,427,546
ENSG00000007545,136,62,49,37,148,97,62
ENSG00000007866,0,0,0,0,0,0,0
ENSG00000007908,0,0,0,0,0,0,0
ENSG00000007923,813,588,433,388,489,532,500
ENSG00000007933,1,0,0,0,23,2,2
ENSG00000007944,464,444,328,598,399,470,356
ENSG00000007952,4,5,8,9,3,15,1
ENSG00000007968,308,179,171,204,192,192,84
ENSG00000008018,1467,789,1634,1166,877,1234,1420
ENSG00000008056,0,0,0,0,0,0,0
ENSG00000008083,854,551,374,519,720,485,452
ENSG00000008086,14,91,18,81,17,20,20
ENSG00000008118,0,0,0,6,0,0,0
ENSG00000008128,42,25,14,32,27,10,19
ENSG00000008130,1454,754,818,1356,1320,710,1117
ENSG00000008196,0,0,0,0,0,0,0
ENSG00000008197,0,0,0,0,0,0,0
ENSG00000008226,74,31,64,20,17,13,11
ENSG00000008256,54,20,18,108,53,101,44
ENSG00000008277,64,80,42,23,22,5,19
ENSG00000008282,4991,4582,3639,3894,4462,4244,3946
ENSG00000008283,90,52,43,80,66,23,44
ENSG00000008294,563,330,165,228,442,151,188
ENSG00000008300,108,111,66,149,103,0,48
ENSG00000008311,153,155,78,99,273,749,223
ENSG00000008323,0,0,0,0,0,0,0
ENSG00000008324,188,117,221,184,139,159,184
ENSG00000008382,8,3,3,13,0,6,6
ENSG00000008394,0,1,21,55,5,12,28
ENSG00000008405,70,116,81,42,151,173,123
ENSG00000008438,0,0,2,14,0,1,3
ENSG00000008441,14,7,4,14,8,5,2
ENSG00000008513,2147,1603,1229,1326,1970,2841,1414
ENSG00000008516,4,10,0,2,0,7,8
ENSG00000008517,3,7,23,8,1,12,24
ENSG00000008710,264,53,48,198,331,236,184
ENSG00000008735,0,0,2,0,0,10,0
ENSG00000008838,757,444,500,455,616,443,363
ENSG00000008853,1531,204,242,313,1112,203,238
ENSG00000008869,2286,1702,1562,1358,2824,2368,2003
ENSG00000008952,1543,1351,1182,1329,1590,1558,1569
ENSG00000008988,1595,640,872,839,1692,696,993
ENSG00000009307,9397,8298,5503,6721,8126,8506,5687
ENSG00000009335,870,553,384,417,702,290,355
ENSG00000009413,1326,769,514,610,1288,584,485
ENSG00000009694,0,6,15,0,0,0,0
ENSG00000009709,0,0,0,0,0,0,0
ENSG00000009724,54,96,24,15,62,38,34
ENSG00000009765,0,0,0,0,0,0,0
ENSG00000009780,727,664,803,506,558,776,638
ENSG00000009790,4617,3775,3668,3522,4442,4889,3794
ENSG00000009830,323,127,51,127,275,115,74
ENSG00000009844,1174,870,1022,1041,961,994,893
ENSG00000009950,0,0,0,0,0,0,0
ENSG00000009954,1454,342,218,770,761,450,346
ENSG00000010017,213,161,155,135,219,67,99
ENSG00000010030,210,211,252,83,0,0,0
ENSG00000010072,213,227,206,173,249,360,230
ENSG00000010165,603,453,464,308,428,379,419
ENSG00000010219,338,324,314,301,469,404,325
ENSG00000010244,3468,2888,2532,2780,3222,2540,2457
ENSG00000010256,2293,2025,2083,1948,1413,2739,2004
ENSG00000010270,594,389,298,668,593,863,389
ENSG00000010278,48,66,98,133,49,101,41
ENSG00000010282,0,0,0,0,0,0,0
ENSG00000010292,660,590,368,387,561,40,366
ENSG00000010295,1567,172,266,1093,1486,704,1213
ENSG00000010310,9,19,24,6,87,13,67
ENSG00000010318,120,67,97,83,141,112,191
ENSG00000010319,4,0,3,13,0,0,0
ENSG00000010322,1555,973,960,906,1263,1329,1078
ENSG00000010327,72,50,62,145,22,86,98
ENSG00000010361,230,109,115,120,44,190,123
ENSG00000010379,2,0,0,0,0,0,8
ENSG00000010404,671,873,340,523,616,537,392
ENSG00000010438,0,0,0,0,0,0,0
ENSG00000010539,180,154,141,104,307,51,133
ENSG00000010610,215,143,373,607,124,153,446
ENSG00000010626,122,52,24,136,84,30,70
ENSG00000010671,6677,4708,2748,4383,5697,3926,3306
ENSG00000010704,89,212,130,93,27,8,65
ENSG00000010803,207,231,107,193,149,330,130
ENSG00000010810,448,176,237,310,376,358,342
ENSG00000010818,837,854,418,534,673,806,450
ENSG00000010932,0,0,2,6,16,6,5
ENSG00000011007,1616,1010,1295,1585,1170,796,1110
ENSG00000011009,809,899,899,684,456,643,714
ENSG00000011021,823,713,488,699,698,722,653
ENSG00000011028,17,35,8,31,2,12,5
ENSG00000011052,0,0,0,0,0,0,0
ENSG00000011083,0,0,0,0,0,0,0
ENSG00000011105,4,0,2,0,0,0,0
ENSG00000011114,543,261,341,158,620,387,299
ENSG00000011132,484,381,347,389,330,262,458
ENSG00000011143,426,161,71,188,373,370,161
ENSG00000011198,361,300,246,422,126,170,63
ENSG00000011201,0,0,0,0,0,0,0
ENSG00000011243,293,258,240,107,184,73,278
ENSG00000011258,608,322,199,176,438,223,175
ENSG00000011260,1030,833,717,783,812,649,543
ENSG00000011275,2108,1843,1240,1274,1822,1820,1306
ENSG00000011295,2471,1670,837,1032,2056,1727,1153
ENSG00000011304,3392,2757,1435,2696,3448,1734,2326
ENSG00000011332,9,0,2,1,14,10,16
ENSG00000011347,0,0,0,0,0,0,0
ENSG00000011376,408,557,350,217,481,94,223
ENSG00000011405,677,558,246,467,609,552,460
ENSG00000011422,80,162,200,634,53,209,210
ENSG00000011426,36,6,0,0,0,14,0
ENSG00000011451,73,6,22,28,20,6,29
ENSG00000011454,489,212,179,238,436,349,184
ENSG00000011465,0,5,0,0,0,0,0
ENSG00000011478,46,44,102,105,94,100,73
ENSG00000011485,862,487,452,495,631,571,459
ENSG00000011523,534,310,281,433,541,355,348
ENSG00000011566,58,11,18,63,114,92,19
ENSG00000011590,1795,1156,1935,778,1408,913,1311
ENSG00000011600,46,16,152,137,44,46,193
ENSG00000011638,371,146,171,223,472,324,346
ENSG00000011677,0,0,0,0,0,0,0
ENSG00000012048,92,3,69,28,45,48,33
ENSG00000012061,570,491,611,565,643,606,602
ENSG00000012124,8094,5992,4785,5139,8129,7596,5769
ENSG00000012171,0,9,0,11,0,0,0
ENSG00000012174,268,184,244,64,284,298,214
ENSG00000012211,273,210,95,119,179,92,110
ENSG00000012223,0,44,7,1325,0,114,21
ENSG00000012232,306,137,218,327,309,396,268
ENSG00000012504,0,0,0,0,0,0,0
ENSG00000012660,5994,5388,4728,3393,5615,4045,4073
ENSG00000012779,7840,2915,3083,4167,8409,5771,5513
ENSG00000012817,0,3232,1,2008,0,2962,0
ENSG00000012822,2866,1742,1769,1847,2733,2310,2365
ENSG00000012963,1560,855,1179,765,939,573,738
ENSG00000012983,667,498,326,600,792,867,477
ENSG00000013016,1933,3266,1959,1311,1634,2735,2263
ENSG00000013275,965,822,903,1072,547,1163,750
ENSG00000013288,1598,1181,824,636,1338,935,1030
ENSG00000013293,0,0,0,0,0,0,0
ENSG00000013297,4,8,1,2,1,5,2
ENSG00000013306,3326,3336,1522,5765,2171,5839,1366
ENSG00000013364,2595,2272,2208,2112,1863,1736,1716
ENSG00000013374,1749,1113,983,1415,1416,1368,1219
ENSG00000013375,296,176,162,116,202,288,184
ENSG00000013392,114,48,65,52,49,53,76
ENSG00000013441,4420,5020,3280,4024,3598,4226,3217
ENSG00000013503,199,65,82,67,338,123,160
ENSG00000013523,754,526,558,444,969,615,575
ENSG00000013561,726,521,456,459,377,557,385
ENSG00000013563,156,137,144,125,100,98,117
ENSG00000013573,677,155,208,456,636,165,184
ENSG00000013583,87,68,77,89,67,92,105
ENSG00000013588,0,1,0,0,0,0,0
ENSG00000013619,71,29,10,12,16,0,15
ENSG00000013725,87,11,1,66,219,248,107
ENSG00000013810,695,407,438,495,631,439,407
ENSG00000014123,1152,813,671,628,1047,742,760
ENSG00000014138,98,42,52,74,50,38,37
ENSG00000014164,601,432,314,304,581,280,496
ENSG00000014216,2824,2211,2149,2024,2319,1898,1788
ENSG00000014257,11,26,5,61,71,45,43
ENSG00000014641,1343,1367,1446,1757,937,1455,1137
ENSG00000014824,1501,794,803,471,1171,854,853
ENSG00000014914,62,26,71,96,3,1,57
ENSG00000014919,791,562,593,565,737,292,483
ENSG00000015133,2207,1178,1207,899,1471,1170,900
ENSG00000015153,232,323,236,265,268,320,295
ENSG00000015171,640,513,305,441,778,809,316
ENSG00000015285,184,142,133,190,81,88,72
ENSG00000015413,0,0,0,0,0,0,0
ENSG00000015475,319,309,420,358,234,310,319
ENSG00000015479,385,416,238,190,386,332,275
ENSG00000015520,0,0,0,0,27,0,0
ENSG00000015532,295,230,169,183,382,352,312
ENSG00000015568,0,0,0,0,0,0,0
ENSG00000015592,0,0,0,0,0,0,0
ENSG00000015676,1627,1413,1130,939,1539,1076,1108
ENSG00000016082,0,0,0,0,0,0,0
ENSG00000016391,63,0,3,0,68,72,51
ENSG00000016402,0,0,0,0,0,0,0
ENSG00000016490,0,0,0,0,0,0,0
ENSG00000016602,5,0,0,0,3,0,0
ENSG00000016864,1049,517,357,468,848,642,416
ENSG00000017260,1146,643,405,552,644,453,433
ENSG00000017427,4,0,1,1,9,0,0
ENSG00000017483,369,255,377,279,203,221,255
ENSG00000017797,230,158,189,129,227,255,99
ENSG00000018189,1271,789,851,947,1239,1315,1003
ENSG00000018236,0,0,0,0,0,0,0
ENSG00000018280,348,130,418,438,352,315,440
ENSG00000018408,46,58,38,53,14,8,5
ENSG00000018510,573,357,242,349,345,227,269
ENSG00000018607,0,0,0,0,0,0,0
ENSG00000018610,192,227,172,119,159,209,208
ENSG00000018625,0,0,0,0,0,0,0
ENSG00000018699,933,350,272,631,651,428,347
ENSG00000018869,133,25,50,78,80,103,59
ENSG00000019102,4,0,1,0,0,19,7
ENSG00000019144,0,5,0,0,1,0,12
ENSG00000019169,0,0,51,44,0,0,51
ENSG00000019186,8,0,0,0,0,0,0
ENSG00000019485,105,67,18,44,60,90,24
ENSG00000019505,0,0,0,0,0,0,0
ENSG00000019549,0,0,0,0,0,0,0
ENSG00000019582,149383,157588,199291,164790,98463,229614,152944
ENSG00000019991,21,34,15,9,62,16,38
ENSG00000019995,102,108,78,147,118,41,91
ENSG00000020129,285,293,301,271,319,293,234
ENSG00000020181,0,0,1,0,0,0,0
ENSG00000020219,0,0,0,0,0,0,0
ENSG00000020256,172,228,137,152,183,108,158
ENSG00000020426,117,111,106,130,89,86,116
ENSG00000020577,326,137,261,187,166,14,197
ENSG00000020633,887,441,583,513,516,559,345
ENSG00000020922,1068,536,403,526,893,368,558
ENSG00000021300,513,728,423,409,251,178,185
ENSG00000021355,1908,1707,1478,1930,1689,1308,1360
ENSG00000021461,0,0,0,0,0,1,0
ENSG00000021488,0,1,7,11,0,0,10
ENSG00000021574,566,453,316,365,1047,764,390
ENSG00000021645,0,0,0,21,0,0,0
ENSG00000021762,29,69,59,100,0,1,59
ENSG00000021776,1948,1498,1008,854,2053,1312,1134
ENSG00000021826,0,0,0,0,0,0,0
ENSG00000021852,0,0,0,0,0,0,0
ENSG00000022267,285,373,141,99,171,195,61
ENSG00000022277,1156,840,833,891,790,1196,816
ENSG00000022355,0,0,0,0,0,0,0
ENSG00000022556,193,382,95,67,245,308,97
ENSG00000022567,10,9,10,0,1,0,6
ENSG00000022840,5301,2078,1154,4685,4365,4702,2557
ENSG00000022976,134,56,47,37,110,113,51
ENSG00000023041,1649,1441,1214,1218,1924,1432,1455
ENSG00000023171,15,0,11,3,0,0,5
ENSG00000023191,2458,2383,2830,2207,1495,1503,1883
ENSG00000023228,979,883,673,866,646,433,414
ENSG00000023287,1417,979,740,946,1546,1442,926
ENSG00000023318,2134,1844,1246,1994,1863,1972,1525
ENSG00000023330,511,479,463,585,594,222,373
ENSG00000023445,3853,3268,3538,2777,4609,5403,3746
ENSG00000023516,1487,1250,449,571,1120,861,275
ENSG00000023572,199,174,179,139,201,189,150
ENSG00000023608,107,87,68,35,70,191,87
ENSG00000023697,607,527,384,285,322,287,327
ENSG00000023734,2387,2098,1422,1855,1887,1851,1536
ENSG00000023839,104,94,28,44,9,88,35
ENSG00000023892,2384,818,396,1734,2308,1852,2166
ENSG00000023902,453,198,230,300,447,367,203
ENSG00000023909,538,107,100,179,322,153,129
ENSG00000024048,2674,1783,1150,1661,2185,1242,1137
ENSG00000024422,0,0,0,0,2,0,0
ENSG00000024526,27,12,10,1,0,0,0
ENSG00000024862,357,276,359,331,224,260,228
ENSG00000025039,10,4,8,70,19,9,2
ENSG00000025156,443,213,315,170,239,117,188
ENSG00000025293,1657,1610,1150,1502,1416,1331,974
ENSG00000025423,7,95,11,15,29,42,19
ENSG00000025434,22,20,33,15,18,37,31
ENSG00000025708,922,184,163,1601,551,278,301
ENSG00000025770,619,662,692,549,594,504,528
ENSG00000025772,654,550,377,518,562,371,343
ENSG00000025796,1170,655,562,1143,983,861,729
ENSG00000025800,2786,1779,1484,1275,2468,1530,1717
ENSG00000026025,2896,2769,1690,2976,2080,1489,1626
ENSG00000026036,10,5,15,7,29,6,18
ENSG00000026103,868,825,604,495,563,319,204
ENSG00000026297,2407,1064,705,1700,2111,1673,1341
ENSG00000026508,10198,10025,6791,7389,9569,10047,8362
ENSG00000026559,0,4,0,0,16,55,3
ENSG00000026652,238,57,108,83,371,384,208
ENSG00000026751,751,266,259,519,327,300,381
ENSG00000026950,3554,2198,1380,1756,3700,2193,1144
ENSG00000027001,325,225,160,216,299,284,162
ENSG00000027075,77,44,24,45,38,47,94
ENSG00000027644,0,0,0,0,0,0,0
ENSG00000027697,1011,581,987,1126,1563,1541,1303
ENSG00000027847,370,248,194,261,266,245,250
ENSG00000027869,15,2,15,6,12,0,19
ENSG00000028116,916,471,378,618,736,661,458
ENSG00000028137,4386,1005,1171,3144,3844,3139,2232
ENSG00000028203,937,667,602,569,928,740,689
ENSG00000028277,2761,1462,1395,1718,2692,2211,2048
ENSG00000028310,752,133,228,317,645,196,230
ENSG00000028528,2138,1615,1666,1349,1583,1379,1027
ENSG00000028839,336,232,345,334,309,319,263
ENSG00000029153,56,12,8,18,26,0,7
ENSG00000029363,4943,4365,2547,3189,4219,4351,2847
ENSG00000029364,845,586,535,574,633,581,616
ENSG00000029534,193,130,200,138,248,138,170
ENSG00000029559,0,0,0,0,0,0,0
ENSG00000029639,273,328,151,155,209,230,132
ENSG00000029725,1988,1339,1017,1222,1511,1783,1411
ENSG00000029993,47,39,15,17,9,1,39
ENSG00000030066,2358,1623,1428,1504,2155,1835,2194
ENSG00000030110,598,457,532,525,548,410,521
ENSG00000030304,0,0,0,0,0,0,0
ENSG00000030419,1,10,4,20,37,76,28
ENSG00000030582,5552,3244,4705,4581,6112,5579,6399
ENSG00000031003,2092,1537,603,1210,1913,751,754
ENSG00000031081,1281,1245,606,742,835,511,604
ENSG00000031691,146,58,116,82,236,30,123
ENSG00000031698,3050,2559,2560,2488,2744,2574,2074
ENSG00000031823,1123,653,734,588,787,690,759
ENSG00000032219,2212,1901,894,1641,1610,1945,1000
ENSG00000032389,383,470,340,384,401,562,481
ENSG00000032444,1050,860,709,691,1238,669,789
ENSG00000032742,237,179,173,170,262,276,287
ENSG00000033011,295,295,245,267,329,405,184
ENSG00000033030,837,584,398,469,567,651,441
ENSG00000033050,256,173,161,165,244,170,154
ENSG00000033100,702,683,474,541,436,471,457
ENSG00000033122,78,100,73,18,40,60,46
ENSG00000033170,1154,648,391,500,998,477,836
ENSG00000033178,2463,2190,1135,774,1457,1074,1225
ENSG00000033327,627,194,159,368,306,133,246
ENSG00000033627,849,391,443,505,1223,1217,974
ENSG00000033800,2282,2034,1530,1421,2171,1662,1604
ENSG00000033867,1537,726,666,457,1288,508,774
ENSG00000034053,33,1,25,1,6,0,31
ENSG00000034152,2686,1958,1612,2374,2694,1569,1898
ENSG00000034239,0,0,0,0,0,0,0
ENSG00000034510,1499,545,1099,818,1446,591,864
ENSG00000034533,661,669,369,386,496,709,420
ENSG00000034677,3077,2293,1875,2003,2148,2017,1737
ENSG00000034693,485,402,284,304,437,319,361
ENSG00000034713,1167,1061,1481,1205,830,997,1026
ENSG00000034971,0,0,0,0,0,0,0
ENSG00000035115,427,352,253,407,324,390,206
ENSG00000035141,1047,532,590,661,699,705,711
ENSG00000035403,1853,2274,1474,1275,1533,1481,1201
ENSG00000035499,13,0,12,0,14,7,0
ENSG00000035664,380,68,108,188,275,206,25
ENSG00000035681,1366,676,664,861,1396,727,1071
ENSG00000035687,975,986,539,594,637,441,516
ENSG00000035720,1971,2256,1717,2269,1703,2371,1570
ENSG00000035862,28,28,52,22,21,28,34
ENSG00000035928,842,576,700,610,552,807,966
ENSG00000036054,955,609,790,558,899,977,639
ENSG00000036257,951,707,357,365,751,497,368
ENSG00000036448,37,90,246,198,48,117,354
ENSG00000036473,0,0,0,0,0,0,0
ENSG00000036530,0,0,0,0,0,0,0
ENSG00000036549,1127,996,660,864,1128,815,931
ENSG00000036565,0,0,0,0,0,0,0
ENSG00000036672,0,7,0,2,0,0,0
ENSG00000036828,0,0,0,0,1,0,0
ENSG00000037042,213,126,160,83,122,106,135
ENSG00000037241,10,11,17,13,5,18,16
ENSG00000037280,0,0,0,0,0,0,0
ENSG00000037474,2763,912,466,1407,2493,1330,1359
ENSG00000037637,931,687,756,788,1016,797,560
ENSG00000037749,305,312,185,214,444,207,180
ENSG00000037757,382,407,233,257,214,214,206
ENSG00000037897,60,42,57,49,41,63,75
ENSG00000037965,0,0,0,0,0,0,0
ENSG00000038002,519,343,442,376,350,641,470
ENSG00000038210,220,64,109,217,202,169,106
ENSG00000038219,1842,1155,887,1014,1935,1495,852
ENSG00000038274,5986,4630,3378,4245,4694,4617,3543
ENSG00000038295,0,0,0,0,0,0,0
ENSG00000038358,910,473,355,427,656,519,864
ENSG00000038382,1507,1194,663,638,931,664,366
ENSG00000038427,723,1079,1548,3042,639,1860,1885
ENSG00000038532,1400,1183,889,745,1173,1150,845
ENSG00000038945,19,4,2,62,11,29,3
ENSG00000039068,7,0,0,0,0,0,1
ENSG00000039123,811,871,375,371,636,528,449
ENSG00000039139,22,0,0,0,0,0,0
ENSG00000039319,366,270,201,287,391,169,283
ENSG00000039523,1532,1271,826,814,1345,922,869
ENSG00000039537,0,0,0,0,0,0,0
ENSG00000039560,0,32,6,19,0,0,0
ENSG00000039600,44,3,16,12,13,30,12
ENSG00000039650,500,288,230,402,286,377,271
ENSG00000039987,0,0,0,0,0,0,0
ENSG00000040199,342,213,210,240,394,219,224
ENSG00000040275,140,199,150,109,200,174,150
ENSG00000040341,415,373,301,287,448,359,231
ENSG00000040487,204,298,146,105,123,76,166
ENSG00000040531,393,258,261,306,167,205,254
ENSG00000040608,0,0,0,0,3,0,0
ENSG00000040633,151,110,126,207,144,204,69
ENSG00000040731,0,0,0,0,0,0,0
