genes,bHCnaiveB_S1R1,bHCnaiveB_S1R2,bHCnaiveB_S1R3,bSLEnaiveB_S1R1,bSLEnaiveB_S1R2,bSLEnaiveB_S1R3
ENSG00000227932,0,1,0,0,0,0
ENSG00000227933,1,4,0,9,1,3
ENSG00000227934,1,5,2,7,10,1
ENSG00000227935,0,0,0,0,0,0
ENSG00000227937,0,0,0,0,0,0
ENSG00000227938,0,0,0,0,0,0
ENSG00000227939,14,14,4,5,47,4
ENSG00000227940,0,0,0,0,0,0
ENSG00000227941,0,12,0,1,8,0
ENSG00000227942,1,0,0,1,2,0
ENSG00000227945,21,5,2,3,3,2
ENSG00000227946,21,86,11,44,7,25
ENSG00000227947,0,0,0,0,0,0
ENSG00000227948,47,25,8,4,4,9
ENSG00000227949,0,0,0,0,1,0
ENSG00000227950,7,26,15,2,1,13
ENSG00000227952,0,0,0,1,0,0
ENSG00000227953,4,7,1,2,0,1
ENSG00000227954,1,0,0,13,0,0
ENSG00000227958,0,0,0,0,0,0
ENSG00000227959,0,0,0,0,1,0
ENSG00000227960,0,0,0,0,0,0
ENSG00000227962,26,15,7,7,28,6
ENSG00000227963,46,22,8,4,3,11
ENSG00000227964,0,0,0,0,0,0
ENSG00000227965,0,0,0,0,0,0
ENSG00000227968,0,1,0,4,1,0
ENSG00000227969,2,4,2,2,1,2
ENSG00000227970,0,0,0,0,0,0
ENSG00000227971,0,0,1,0,1,0
ENSG00000227972,1,0,3,0,1,0
ENSG00000227973,10,1,4,1,0,2
ENSG00000227979,0,0,0,0,0,0
ENSG00000227981,0,0,0,0,0,0
ENSG00000227982,0,0,0,0,0,0
ENSG00000227983,0,0,0,0,0,0
ENSG00000227986,0,0,0,0,0,0
ENSG00000227987,0,2,0,0,0,0
ENSG00000227988,0,0,1,0,0,0
ENSG00000227992,0,0,0,0,0,0
ENSG00000227994,0,0,0,0,0,0
ENSG00000227995,0,0,0,0,0,0
ENSG00000227999,0,5,4,0,10,2
ENSG00000228000,0,5,0,4,5,1
ENSG00000228002,17,3,0,4,1,3
ENSG00000228004,0,0,0,0,0,0
ENSG00000228005,0,2,0,1,0,0
ENSG00000228007,3,4,1,13,17,8
ENSG00000228008,11,7,0,7,0,0
ENSG00000228010,3,8,5,4,31,2
ENSG00000228013,0,2,0,0,0,0
ENSG00000228014,8,16,4,1,30,4
ENSG00000228015,0,0,0,0,0,0
ENSG00000228016,0,4,1,0,0,0
ENSG00000228019,15,19,4,6,65,7
ENSG00000228020,0,0,2,0,0,0
ENSG00000228021,1,1,6,16,0,0
ENSG00000228022,0,0,0,0,0,0
ENSG00000228024,0,0,0,0,0,0
ENSG00000228027,0,0,0,0,0,0
ENSG00000228028,0,5,2,1,50,2
ENSG00000228030,0,0,0,0,1,0
ENSG00000228031,0,0,0,0,0,0
ENSG00000228033,0,3,0,0,0,0
ENSG00000228034,0,0,0,0,0,0
ENSG00000228035,0,5,0,0,0,0
ENSG00000228036,0,0,0,17,0,0
ENSG00000228037,13,13,2,0,4,9
ENSG00000228038,1,4,1,0,0,3
ENSG00000228039,0,0,0,0,0,0
ENSG00000228040,0,0,0,0,0,0
ENSG00000228041,0,0,0,0,0,0
ENSG00000228042,0,0,0,0,0,0
ENSG00000228043,7,0,0,2,0,3
ENSG00000228044,0,0,0,2,0,0
ENSG00000228045,0,0,0,0,0,0
ENSG00000228046,1,0,0,3,0,0
ENSG00000228048,0,0,0,2,0,0
ENSG00000228049,1,12,0,11,21,3
ENSG00000228050,0,0,0,2,0,0
ENSG00000228051,1,0,0,2,2,1
ENSG00000228053,9,7,0,2,1,0
ENSG00000228054,0,0,0,0,0,0
ENSG00000228055,0,0,0,3,0,0
ENSG00000228056,1,0,4,0,0,3
ENSG00000228057,43,15,3,2,12,6
ENSG00000228058,0,0,0,2,0,0
ENSG00000228060,28,24,21,18,65,19
ENSG00000228061,150,53,28,79,84,20
ENSG00000228063,60,5,2,14,0,8
ENSG00000228064,0,0,0,0,0,0
ENSG00000228065,0,1,0,13,0,0
ENSG00000228067,0,0,0,0,0,0
ENSG00000228069,7,23,7,14,17,17
ENSG00000228071,2,2,2,1,0,2
ENSG00000228072,0,0,0,0,0,0
ENSG00000228073,0,1,0,0,0,2
ENSG00000228074,0,0,0,0,0,0
ENSG00000228075,0,2,0,0,0,0
ENSG00000228076,23,14,8,4,13,1
ENSG00000228078,9,5,0,0,1,0
ENSG00000228079,1,16,1,3,10,1
ENSG00000228081,0,0,0,1,0,0
ENSG00000228082,0,0,0,0,0,0
ENSG00000228083,0,0,0,0,0,0
ENSG00000228084,0,1,1,0,0,0
ENSG00000228085,5,1,1,0,0,0
ENSG00000228086,9,4,1,1,10,3
ENSG00000228089,0,0,0,0,1,0
ENSG00000228092,0,0,0,0,0,0
ENSG00000228095,0,0,0,0,0,0
ENSG00000228097,10,3,5,10,252,5
ENSG00000228098,0,0,0,0,0,0
ENSG00000228100,0,3,0,0,0,0
ENSG00000228105,0,4,0,0,0,0
ENSG00000228107,5,7,4,7,5,7
ENSG00000228108,0,0,0,0,0,0
ENSG00000228109,0,1,0,1,0,0
ENSG00000228110,0,0,0,0,1,0
ENSG00000228111,0,1,1,8,0,0
ENSG00000228112,0,0,0,0,0,0
ENSG00000228113,1,2,0,1,2,3
ENSG00000228115,0,2,0,8,0,1
ENSG00000228118,0,0,0,0,0,0
ENSG00000228120,0,0,0,0,0,0
ENSG00000228121,0,1,0,1,0,0
ENSG00000228122,0,0,0,0,0,0
ENSG00000228123,0,0,0,0,0,0
ENSG00000228124,15,3,6,2,4,3
ENSG00000228125,0,1,0,1,0,0
ENSG00000228126,7,0,0,4,2,0
ENSG00000228127,0,0,0,0,0,0
ENSG00000228131,0,0,0,1,7,0
ENSG00000228132,0,0,0,0,0,0
ENSG00000228133,0,0,0,0,0,0
ENSG00000228134,0,0,0,0,0,0
ENSG00000228135,12,8,1,1,3,1
ENSG00000228136,0,0,0,0,0,0
ENSG00000228137,9,3,0,1,3,1
ENSG00000228139,0,2,2,0,5,2
ENSG00000228140,0,0,0,1,0,0
ENSG00000228141,0,0,0,3,0,0
ENSG00000228142,0,0,0,0,0,0
ENSG00000228143,0,0,0,0,0,0
ENSG00000228144,0,0,0,0,0,0
ENSG00000228146,0,2,0,1,29,2
ENSG00000228149,32,23,16,15,39,13
ENSG00000228150,8,9,0,2,0,2
ENSG00000228151,0,3,0,0,0,0
ENSG00000228153,0,1,0,0,0,0
ENSG00000228154,1,0,0,0,0,0
ENSG00000228156,0,0,0,0,0,0
ENSG00000228157,26,1,1,18,129,5
ENSG00000228158,18,8,0,3,9,3
ENSG00000228159,0,0,0,0,0,0
ENSG00000228160,0,0,0,0,0,0
ENSG00000228161,0,0,0,0,0,0
ENSG00000228162,0,0,0,0,0,0
ENSG00000228165,0,0,0,0,0,0
ENSG00000228166,123,22,13,10,89,5
ENSG00000228167,0,0,0,0,0,0
ENSG00000228168,2,0,0,0,3,0
ENSG00000228169,1,0,0,0,0,0
ENSG00000228170,0,0,0,0,0,0
ENSG00000228171,20,14,3,1,68,4
ENSG00000228172,43,12,8,16,9,8
ENSG00000228173,0,0,0,0,0,0
ENSG00000228174,0,0,0,1,0,0
ENSG00000228175,0,0,0,2,0,0
ENSG00000228176,0,0,0,0,0,0
ENSG00000228181,0,0,0,0,0,0
ENSG00000228182,0,0,0,1,1,0
ENSG00000228184,1,0,0,0,0,1
ENSG00000228187,0,0,1,0,0,0
ENSG00000228189,0,1,0,4,0,0
ENSG00000228190,1,0,0,1,0,0
ENSG00000228191,0,0,0,0,0,0
ENSG00000228192,1,3,1,8,9,4
ENSG00000228193,0,0,0,0,0,0
ENSG00000228194,0,1,2,0,0,0
ENSG00000228195,4,0,0,1,2,0
ENSG00000228196,145,39,24,106,144,34
ENSG00000228198,0,1,1,9,0,2
ENSG00000228201,0,1,0,6,7,2
ENSG00000228203,0,2,1,1,119,1
ENSG00000228204,0,0,0,0,0,0
ENSG00000228205,11,8,3,5,2,3
ENSG00000228206,0,0,0,0,0,0
ENSG00000228207,0,0,0,0,0,0
ENSG00000228208,3,1,0,1,0,0
ENSG00000228209,0,0,0,2,0,0
ENSG00000228210,0,0,0,0,0,0
ENSG00000228211,1,0,0,0,0,0
ENSG00000228212,112,47,7,16,40,3
ENSG00000228213,0,0,0,0,0,2
ENSG00000228215,0,0,0,0,0,0
ENSG00000228216,0,0,0,0,0,0
ENSG00000228217,0,3,0,0,0,0
ENSG00000228218,0,1,1,1,1,0
ENSG00000228219,20,0,0,0,0,0
ENSG00000228221,4,5,0,5,0,0
ENSG00000228222,0,0,0,0,0,0
ENSG00000228223,84,155,88,57,245,77
ENSG00000228224,64,46,117,74,8,30
ENSG00000228225,0,0,0,0,0,0
ENSG00000228226,0,0,0,0,0,0
ENSG00000228229,0,0,0,0,0,0
ENSG00000228231,0,0,0,0,0,0
ENSG00000228232,4,3,1,2,4,1
ENSG00000228234,0,0,0,0,0,0
ENSG00000228235,0,0,0,0,0,0
ENSG00000228236,3,1,0,0,0,0
ENSG00000228237,0,1,5,0,0,1
ENSG00000228238,0,0,0,15,0,0
ENSG00000228239,0,0,0,0,0,0
ENSG00000228240,0,0,0,0,0,0
ENSG00000228241,0,1,0,0,0,0
ENSG00000228242,59,109,21,45,107,65
ENSG00000228247,0,0,0,4,0,0
ENSG00000228248,0,0,0,0,0,0
ENSG00000228251,6,25,0,6,31,5
ENSG00000228252,0,22,6,0,2,7
ENSG00000228253,854,975,2261,514,1234,281
ENSG00000228255,0,0,0,0,0,0
ENSG00000228257,0,0,0,0,0,0
ENSG00000228259,0,0,0,0,0,0
ENSG00000228261,15,4,0,3,10,0
ENSG00000228262,39,2,5,1,1,3
ENSG00000228264,0,1,0,0,1,0
ENSG00000228271,0,0,0,0,0,0
ENSG00000228272,0,0,0,0,0,0
ENSG00000228274,3,11,0,11,0,0
ENSG00000228275,0,2,0,2,0,2
ENSG00000228277,0,0,0,0,0,0
ENSG00000228278,21,22,5,6,19,0
ENSG00000228280,0,0,0,0,0,0
ENSG00000228283,1,0,0,0,1,1
ENSG00000228285,0,1,0,0,0,0
ENSG00000228286,0,0,0,15,0,0
ENSG00000228288,0,1,0,0,0,3
ENSG00000228289,0,0,0,0,0,0
ENSG00000228290,0,0,0,1,0,0
ENSG00000228291,0,0,0,0,0,0
ENSG00000228292,138,52,39,55,125,38
ENSG00000228293,0,2,0,15,0,0
ENSG00000228294,0,0,0,0,0,0
ENSG00000228295,0,0,0,0,0,0
ENSG00000228296,0,0,0,0,0,0
ENSG00000228300,47,63,8,63,16,39
ENSG00000228301,0,0,0,0,0,0
ENSG00000228302,107,64,10,45,245,10
ENSG00000228303,3,1,0,0,0,0
ENSG00000228304,0,0,0,1,0,0
ENSG00000228305,0,0,0,0,2,0
ENSG00000228307,0,0,0,0,0,0
ENSG00000228308,0,0,0,3,0,0
ENSG00000228309,0,0,0,0,1,0
ENSG00000228312,0,2,0,3,0,1
ENSG00000228314,0,7,0,4,0,1
ENSG00000228315,77,118,17,68,50,58
ENSG00000228316,1,2,2,10,0,0
ENSG00000228317,4,3,0,0,0,1
ENSG00000228318,1,7,0,6,124,4
ENSG00000228319,0,0,0,0,0,0
ENSG00000228322,0,0,0,0,0,0
ENSG00000228323,2,0,0,2,0,1
ENSG00000228325,2,3,0,3,12,0
ENSG00000228327,12,9,7,9,27,3
ENSG00000228328,0,0,0,0,0,0
ENSG00000228329,26,43,35,8,98,7
ENSG00000228330,10,1,0,0,0,9
ENSG00000228331,1,1,1,0,0,0
ENSG00000228334,1,0,0,0,0,0
ENSG00000228335,2,2,4,4,1,0
ENSG00000228336,1,0,0,27,2,0
ENSG00000228337,0,0,0,0,0,0
ENSG00000228338,0,0,0,0,0,0
ENSG00000228339,0,0,0,1,0,0
ENSG00000228340,3,35,13,65,97,20
ENSG00000228341,11,0,1,4,3,0
ENSG00000228343,0,0,0,0,0,0
ENSG00000228345,0,0,0,0,0,0
ENSG00000228347,0,0,0,0,0,0
ENSG00000228348,1,0,0,0,1,0
ENSG00000228349,1,0,3,0,0,0
ENSG00000228350,3,2,0,0,0,0
ENSG00000228351,0,0,0,1,0,0
ENSG00000228352,0,0,0,0,0,0
ENSG00000228353,13,2,0,1,14,3
ENSG00000228354,0,0,0,0,0,0
ENSG00000228355,0,0,0,0,0,0
ENSG00000228358,0,1,1,6,0,1
ENSG00000228360,8,3,1,1,0,2
ENSG00000228361,0,0,0,3,0,0
ENSG00000228363,228,545,124,129,407,125
ENSG00000228364,0,0,0,0,1,0
ENSG00000228365,0,0,0,0,0,0
ENSG00000228366,37,45,29,4,4,12
ENSG00000228367,0,0,0,1,0,0
ENSG00000228368,8,0,0,0,0,0
ENSG00000228369,2,18,0,7,6,4
ENSG00000228372,0,0,0,0,0,0
ENSG00000228373,0,0,0,0,0,0
ENSG00000228374,0,0,0,0,0,0
ENSG00000228375,0,0,0,0,0,0
ENSG00000228376,0,0,0,0,0,0
ENSG00000228379,0,0,0,0,0,0
ENSG00000228380,0,1,0,1,0,0
ENSG00000228382,52,33,14,30,79,9
ENSG00000228383,0,0,0,0,0,0
ENSG00000228384,0,0,0,0,0,0
ENSG00000228386,103,52,5,14,62,19
ENSG00000228391,0,0,0,0,0,0
ENSG00000228392,0,1,0,0,0,0
ENSG00000228393,395,350,217,318,480,213
ENSG00000228395,24,6,2,14,16,1
ENSG00000228397,3,9,0,8,0,2
ENSG00000228398,0,0,0,1,0,0
ENSG00000228399,9,9,6,2,4,0
ENSG00000228400,0,0,0,14,0,0
ENSG00000228401,0,0,1,1,0,0
ENSG00000228403,30,20,2,30,57,27
ENSG00000228404,0,0,0,0,0,0
ENSG00000228407,5,0,1,0,0,0
ENSG00000228408,0,0,0,0,1,1
ENSG00000228409,109,171,31,134,110,52
ENSG00000228410,0,0,0,0,0,0
ENSG00000228411,0,0,3,0,0,0
ENSG00000228412,0,0,0,2,1,1
ENSG00000228413,0,8,0,2,1,2
ENSG00000228414,12,2,2,1,0,1
ENSG00000228415,0,12,4,3,2,5
ENSG00000228417,1,0,9,0,0,1
ENSG00000228420,0,0,0,0,0,0
ENSG00000228421,0,0,0,0,0,0
ENSG00000228422,0,1,0,3,0,0
ENSG00000228423,1,1,4,2,0,0
ENSG00000228426,0,0,0,0,0,0
ENSG00000228427,41,22,4,29,62,58
ENSG00000228429,2,1,1,3,0,1
ENSG00000228430,15,6,0,5,6,1
ENSG00000228431,0,0,0,2,0,0
ENSG00000228432,19,0,0,0,0,0
ENSG00000228433,0,0,0,0,0,0
ENSG00000228434,3,0,0,3,19,5
ENSG00000228436,20,17,12,6,9,1
ENSG00000228437,0,0,0,2,0,0
ENSG00000228438,0,0,0,0,0,0
ENSG00000228440,0,0,0,0,0,0
ENSG00000228444,3,20,5,19,4,4
ENSG00000228445,0,0,0,0,0,0
ENSG00000228446,109,60,12,15,29,18
ENSG00000228450,0,0,0,0,0,0
ENSG00000228451,129,83,11,63,69,12
ENSG00000228452,0,0,0,0,0,0
ENSG00000228453,0,1,0,1,0,0
ENSG00000228459,0,0,1,1,0,2
ENSG00000228460,0,0,0,0,0,0
ENSG00000228462,64,23,7,10,11,11
ENSG00000228463,0,2,1,0,0,0
ENSG00000228464,0,0,0,0,0,0
ENSG00000228465,0,0,0,0,0,0
ENSG00000228466,0,0,0,0,0,2
ENSG00000228467,0,0,0,0,0,0
ENSG00000228470,7,8,0,2,10,1
ENSG00000228471,0,0,0,0,0,0
ENSG00000228473,0,0,0,0,0,0
ENSG00000228474,1674,933,182,733,2510,573
ENSG00000228476,0,1,0,1,0,0
ENSG00000228477,1,0,0,0,0,0
ENSG00000228478,0,0,0,0,0,0
ENSG00000228480,0,0,0,0,1,0
ENSG00000228481,332,118,61,47,422,47
ENSG00000228482,0,0,0,3,0,0
ENSG00000228484,0,0,1,1,4,0
ENSG00000228485,63,102,45,23,67,46
ENSG00000228486,58,91,40,83,259,33
ENSG00000228487,4,16,2,6,16,6
ENSG00000228488,0,0,0,0,0,0
ENSG00000228489,0,0,0,1,0,0
ENSG00000228492,52,24,10,6,58,21
ENSG00000228495,695,188,65,162,2656,83
ENSG00000228496,0,0,0,0,0,0
ENSG00000228499,54,20,8,21,2,16
ENSG00000228501,1,6,1,5,0,0
ENSG00000228502,101,58,17,102,120,25
ENSG00000228503,0,0,0,0,0,0
ENSG00000228504,1,0,0,0,0,0
ENSG00000228505,0,2,0,0,0,0
ENSG00000228506,331,300,77,153,517,96
ENSG00000228507,0,13,0,4,1,0
ENSG00000228509,10,18,0,16,9,6
ENSG00000228510,0,0,0,0,0,0
ENSG00000228513,0,3,0,1,0,1
ENSG00000228517,0,0,0,0,0,0
ENSG00000228518,0,0,0,0,0,0
ENSG00000228519,1,0,2,1,1,0
ENSG00000228521,0,0,0,2,0,0
ENSG00000228522,0,0,0,0,0,0
ENSG00000228523,0,0,0,1,0,0
ENSG00000228525,0,0,3,0,0,1
ENSG00000228526,0,2,1,0,16,0
ENSG00000228527,0,0,0,0,0,0
ENSG00000228528,0,0,0,0,0,0
ENSG00000228530,0,0,0,0,0,0
ENSG00000228532,0,1,0,0,0,0
ENSG00000228536,10,9,3,14,9,8
ENSG00000228538,0,0,0,0,0,0
ENSG00000228539,0,0,0,0,0,0
ENSG00000228540,5,10,1,0,0,0
ENSG00000228541,0,2,0,12,0,0
ENSG00000228543,1,0,0,9,0,0
ENSG00000228544,9,41,1,27,121,21
ENSG00000228546,0,2,1,0,0,1
ENSG00000228547,0,1,0,0,0,0
ENSG00000228548,15,16,9,10,67,1
ENSG00000228549,2,0,0,5,15,0
ENSG00000228550,0,5,0,1,0,0
ENSG00000228551,0,5,0,0,0,0
ENSG00000228553,0,0,0,0,0,0
ENSG00000228554,26,12,2,14,3,5
ENSG00000228557,0,0,0,0,0,0
ENSG00000228559,0,0,0,0,1,0
ENSG00000228560,0,0,0,0,0,0
ENSG00000228561,0,0,0,0,0,0
ENSG00000228563,0,0,0,1,1,0
ENSG00000228564,0,0,0,1,0,0
ENSG00000228566,0,0,0,0,0,0
ENSG00000228567,0,0,0,0,0,0
ENSG00000228568,1,0,1,1,0,0
ENSG00000228570,1,4,0,1,3,1
ENSG00000228571,0,0,0,0,0,0
ENSG00000228572,0,0,0,0,0,0
ENSG00000228573,0,0,0,2,0,1
ENSG00000228577,2,0,0,0,2,0
ENSG00000228578,0,0,0,0,0,0
ENSG00000228585,0,0,0,0,0,0
ENSG00000228586,0,0,0,0,0,0
ENSG00000228587,0,0,0,2,0,0
ENSG00000228589,1,0,1,3,3,0
ENSG00000228590,488,479,150,624,3565,378
ENSG00000228592,0,0,0,1,1,0
ENSG00000228593,0,0,0,0,0,0
ENSG00000228594,1,7,2,5,26,0
ENSG00000228595,0,0,0,0,0,0
ENSG00000228596,0,0,0,1,0,0
ENSG00000228597,0,5,1,1,4,0
ENSG00000228598,11,4,2,0,10,1
ENSG00000228599,186,89,33,38,57,71
ENSG00000228600,0,2,0,5,12,1
ENSG00000228601,0,0,0,0,0,0
ENSG00000228604,7,35,12,13,26,3
ENSG00000228606,20,44,11,37,51,25
ENSG00000228607,0,0,0,0,0,0
ENSG00000228610,0,0,0,0,0,0
ENSG00000228611,0,0,0,0,0,0
ENSG00000228612,0,0,0,0,1,0
ENSG00000228613,0,0,0,0,0,0
ENSG00000228615,7,0,0,1,0,0
ENSG00000228618,0,0,0,0,0,0
ENSG00000228620,0,0,0,0,0,0
ENSG00000228622,0,0,0,0,0,0
ENSG00000228623,41,32,11,19,26,5
ENSG00000228624,7,11,1,45,14,0
ENSG00000228625,0,0,0,0,0,0
ENSG00000228626,0,0,0,0,0,0
ENSG00000228627,0,0,0,0,0,0
ENSG00000228629,0,2,0,1,2,0
ENSG00000228630,0,0,0,0,0,0
ENSG00000228634,10,30,14,27,42,13
ENSG00000228636,0,0,0,0,0,0
ENSG00000228638,0,0,0,0,0,0
ENSG00000228639,0,0,1,5,0,0
ENSG00000228643,0,8,0,0,2,4
ENSG00000228645,0,0,0,0,0,0
ENSG00000228646,0,0,0,0,0,0
ENSG00000228648,0,0,0,0,0,0
ENSG00000228649,245,400,77,270,361,112
ENSG00000228650,2,2,0,0,0,0
ENSG00000228653,116,28,8,11,104,3
ENSG00000228655,913,177,129,144,296,66
ENSG00000228656,0,0,0,0,0,0
ENSG00000228657,6,6,0,9,1,4
ENSG00000228658,0,0,0,0,0,0
ENSG00000228659,0,1,0,1,0,0
ENSG00000228660,0,0,0,0,0,0
ENSG00000228661,0,7,1,0,1,0
ENSG00000228663,52,117,50,54,181,47
ENSG00000228664,0,0,0,0,0,0
ENSG00000228665,8,3,2,4,2,3
ENSG00000228666,0,0,0,0,0,0
ENSG00000228667,0,0,0,0,0,0
ENSG00000228668,2,5,0,2,2,2
ENSG00000228669,0,0,0,0,0,0
ENSG00000228670,0,0,0,0,0,0
ENSG00000228672,22,5,4,22,3,6
ENSG00000228674,0,0,0,0,0,0
ENSG00000228675,30,1,0,0,0,1
ENSG00000228677,5,12,1,13,3,5
ENSG00000228679,13,9,2,1,40,1
ENSG00000228680,0,0,0,1,0,0
ENSG00000228681,0,0,0,0,0,0
ENSG00000228683,0,0,0,0,0,0
ENSG00000228685,0,0,0,1,0,0
ENSG00000228686,22,25,22,27,156,13
ENSG00000228687,0,0,0,0,0,0
ENSG00000228688,4,4,0,0,0,1
ENSG00000228689,0,0,0,10,0,0
ENSG00000228692,1,3,0,3,0,3
ENSG00000228694,0,0,0,0,0,0
ENSG00000228695,0,0,0,0,0,0
ENSG00000228696,20,28,30,65,282,25
ENSG00000228697,7,1,2,6,3,0
ENSG00000228700,0,0,0,0,0,0
ENSG00000228701,112,36,9,29,5,19
ENSG00000228702,0,3,0,0,1,0
ENSG00000228703,0,0,0,0,0,0
ENSG00000228705,0,0,0,2,0,0
ENSG00000228707,0,0,0,0,0,0
ENSG00000228708,0,0,0,0,0,0
ENSG00000228709,1,0,0,8,14,1
ENSG00000228711,0,0,0,0,0,0
ENSG00000228714,0,0,0,3,0,0
ENSG00000228716,44,24,19,28,39,17
ENSG00000228717,0,0,0,0,0,0
ENSG00000228718,0,0,0,0,0,0
ENSG00000228719,0,5,0,0,0,0
ENSG00000228721,0,0,0,0,0,0
ENSG00000228723,0,0,0,11,0,2
ENSG00000228725,0,0,0,11,4,0
ENSG00000228727,1,11,1,8,1,1
ENSG00000228728,0,4,0,6,0,1
ENSG00000228729,0,0,0,0,0,0
ENSG00000228730,0,0,0,3,0,0
ENSG00000228734,0,0,0,0,0,0
ENSG00000228735,0,0,0,0,0,0
ENSG00000228737,6,3,0,1,2,1
ENSG00000228739,0,0,0,0,1,0
ENSG00000228740,0,0,0,0,1,0
ENSG00000228741,0,0,0,4,0,0
ENSG00000228742,0,1,0,24,0,0
ENSG00000228744,0,3,1,0,0,2
ENSG00000228748,0,0,0,0,0,0
ENSG00000228750,0,0,1,0,0,0
ENSG00000228751,0,0,0,0,0,0
ENSG00000228753,0,0,3,0,4,0
ENSG00000228754,13,43,6,13,29,18
ENSG00000228755,0,5,0,0,0,0
ENSG00000228757,0,0,0,0,0,0
ENSG00000228759,0,0,4,1,0,0
ENSG00000228763,4,4,7,0,2,0
ENSG00000228764,0,0,0,0,0,0
ENSG00000228766,0,1,0,0,0,0
ENSG00000228767,0,0,0,0,0,0
ENSG00000228768,0,0,0,0,0,0
ENSG00000228769,0,4,0,0,0,0
ENSG00000228770,0,0,0,0,0,0
ENSG00000228771,0,0,0,1,0,0
ENSG00000228772,0,0,0,1,0,0
ENSG00000228775,17,66,4,45,102,2
ENSG00000228776,1,0,0,0,0,0
ENSG00000228777,0,0,0,0,0,0
ENSG00000228778,1,0,0,8,0,0
ENSG00000228779,0,0,1,7,13,0
ENSG00000228780,0,0,0,0,0,0
ENSG00000228781,0,0,1,0,0,0
ENSG00000228782,19,58,23,35,27,23
ENSG00000228783,0,0,0,0,0,0
ENSG00000228784,118,285,48,232,249,85
ENSG00000228786,0,0,0,0,0,0
ENSG00000228787,0,0,0,0,0,0
ENSG00000228789,0,5,0,1,0,0
ENSG00000228790,0,0,0,0,0,0
ENSG00000228791,1,12,0,2,0,6
ENSG00000228792,0,0,0,0,0,0
ENSG00000228793,0,1,1,20,0,0
ENSG00000228794,412,311,76,168,956,94
ENSG00000228797,0,1,0,0,0,0
ENSG00000228799,0,0,0,2,0,0
ENSG00000228800,0,1,0,0,0,0
ENSG00000228801,199,250,68,280,192,104
ENSG00000228802,1,1,4,0,0,0
ENSG00000228803,0,0,0,1,0,0
ENSG00000228804,5,3,1,5,16,1
ENSG00000228806,0,0,0,0,0,0
ENSG00000228807,0,0,0,0,0,1
ENSG00000228808,26,23,9,6,3,21
ENSG00000228809,3,10,3,9,2,1
ENSG00000228810,0,0,0,0,0,0
ENSG00000228812,0,1,0,0,0,0
ENSG00000228814,0,0,0,0,0,0
ENSG00000228815,0,0,0,0,0,0
ENSG00000228816,4,1,1,0,68,6
ENSG00000228817,89,65,47,18,39,6
ENSG00000228818,0,0,0,1,10,0
ENSG00000228819,0,0,0,0,0,0
ENSG00000228820,1,32,1,17,0,23
ENSG00000228823,0,0,1,0,0,0
ENSG00000228824,0,1,2,33,0,0
ENSG00000228825,0,0,0,0,1,0
ENSG00000228826,0,0,0,0,0,0
ENSG00000228827,0,0,0,0,0,0
ENSG00000228828,56,29,5,19,91,20
ENSG00000228829,0,0,0,0,0,0
ENSG00000228830,0,0,0,0,0,0
ENSG00000228833,0,0,0,0,0,0
ENSG00000228834,12,1,2,2,11,1
ENSG00000228835,63,183,52,190,35,61
ENSG00000228836,0,0,0,0,0,0
ENSG00000228837,0,0,0,0,0,0
ENSG00000228838,0,0,0,0,0,1
ENSG00000228839,44,63,16,19,65,22
ENSG00000228842,23,5,8,2,21,1
ENSG00000228843,0,0,0,0,0,0
ENSG00000228844,1,1,4,2,4,3
ENSG00000228847,0,0,0,2,1,0
ENSG00000228848,1,3,2,3,0,1
ENSG00000228850,0,0,0,0,0,0
ENSG00000228851,0,0,0,2,0,0
ENSG00000228852,24,17,7,21,2,11
ENSG00000228853,0,0,0,0,1,0
ENSG00000228855,0,0,0,1,0,0
ENSG00000228856,0,0,0,0,0,0
ENSG00000228857,98,67,12,98,45,33
ENSG00000228860,0,0,0,0,0,0
ENSG00000228861,1,0,2,0,0,1
ENSG00000228862,0,8,2,12,1,7
ENSG00000228863,90,84,36,97,333,32
ENSG00000228868,0,0,1,1,0,0
ENSG00000228869,0,1,0,0,0,0
ENSG00000228872,0,0,0,0,0,0
ENSG00000228873,0,0,0,0,0,0
ENSG00000228874,0,0,0,0,0,0
ENSG00000228876,0,1,0,2,0,0
ENSG00000228877,0,0,0,0,0,0
ENSG00000228878,43,92,25,97,121,27
ENSG00000228879,0,0,1,1,0,2
ENSG00000228882,0,0,0,1,0,0
ENSG00000228884,1,0,0,0,0,0
ENSG00000228886,4,15,21,14,4,2
ENSG00000228887,0,2,0,4,0,1
ENSG00000228888,0,0,0,0,0,0
ENSG00000228889,16,24,7,11,16,8
ENSG00000228890,0,0,0,0,0,0
ENSG00000228897,4,1,1,5,0,0
ENSG00000228898,0,0,0,1,0,0
ENSG00000228901,0,0,0,0,0,0
ENSG00000228902,0,0,0,0,0,0
ENSG00000228903,7,15,10,15,6,15
ENSG00000228906,65,30,15,12,4,15
ENSG00000228909,0,0,0,0,0,0
ENSG00000228914,0,0,0,0,0,0
ENSG00000228915,32,18,7,25,37,15
ENSG00000228917,0,0,0,0,0,0
ENSG00000228918,0,1,1,1,0,0
ENSG00000228919,0,0,0,0,0,0
ENSG00000228922,0,0,1,0,1,0
ENSG00000228923,0,9,0,4,1,4
ENSG00000228925,14,21,20,2,3,10
ENSG00000228927,0,0,0,0,0,0
ENSG00000228928,0,0,1,0,0,0
ENSG00000228929,105,72,30,32,22,37
