genes,aHCnaiveB_S1R1,aHCnaiveB_S1R3,aHCnaiveB_S1R4,aSLEnaiveB_S1R1,aSLEnaiveB_S1R2,aSLEnaiveB_S1R3,aSLEnaiveB_S1R4
ENSG00000212864,0,22,36,26,43,37,56
ENSG00000212899,0,5,1,0,0,0,0
ENSG00000212900,0,1,0,0,0,0,0
ENSG00000212901,0,13,10,0,0,0,0
ENSG00000212907,1450,1639,537,15421,38043,42780,48334
ENSG00000212916,19,125,86,413,351,120,415
ENSG00000212930,0,3,8,0,0,0,0
ENSG00000212932,0,0,0,0,0,0,0
ENSG00000212933,0,17,17,0,0,0,0
ENSG00000212935,0,11,12,0,0,0,0
ENSG00000212938,0,11,4,0,0,0,0
ENSG00000212939,5,69,45,13,7,34,25
ENSG00000212951,0,0,0,0,0,0,0
ENSG00000212952,0,0,0,0,0,0,0
ENSG00000212961,5,35,33,0,3,1,1
ENSG00000212978,45,34,9,229,192,121,169
ENSG00000212989,0,4,3,0,0,0,0
ENSG00000212993,0,59,24,51,33,26,49
ENSG00000212994,0,6,9,7,5,6,6
ENSG00000213003,4,2,9,5,9,9,15
ENSG00000213005,1,15,6,0,0,0,2
ENSG00000213013,0,23,13,9,18,5,12
ENSG00000213014,4,12,5,0,0,0,3
ENSG00000213015,53,18,65,1629,1469,1524,2307
ENSG00000213016,0,9,5,0,0,0,0
ENSG00000213018,7,9,10,15,17,18,26
ENSG00000213020,218,175,188,1430,1249,897,1217
ENSG00000213022,0,0,0,0,0,0,0
ENSG00000213023,6,113,136,2,6,12,7
ENSG00000213024,276,110,110,1592,1957,1507,2204
ENSG00000213025,1,1,4,73,3,2,11
ENSG00000213026,1,10,2,1,1,1,1
ENSG00000213028,3,2,2,1,4,3,4
ENSG00000213030,0,18,14,0,0,0,0
ENSG00000213032,0,6,5,0,0,0,0
ENSG00000213033,0,2,0,4,1,11,14
ENSG00000213035,0,6,1,0,0,0,0
ENSG00000213036,1,17,4,2,3,0,11
ENSG00000213041,4,1,3,9,4,5,8
ENSG00000213045,0,0,6,2,0,0,0
ENSG00000213046,1,13,2,0,1,0,1
ENSG00000213047,70,58,50,1750,952,1102,1398
ENSG00000213048,2,24,12,0,0,0,0
ENSG00000213049,2,0,0,0,2,2,2
ENSG00000213050,1,4,7,0,1,0,0
ENSG00000213051,9,0,0,7,4,12,15
ENSG00000213055,7,4,8,6,0,6,5
ENSG00000213057,49,70,82,190,163,114,232
ENSG00000213058,0,1,4,475,4,16,7
ENSG00000213060,0,1,5,4,5,0,3
ENSG00000213061,0,3,10,1,1,2,1
ENSG00000213062,6,211,219,34,39,46,39
ENSG00000213063,0,5,0,0,5,1,7
ENSG00000213064,903,82,95,8389,9157,6481,10070
ENSG00000213065,0,15,9,0,0,0,0
ENSG00000213066,61,48,93,767,775,698,1034
ENSG00000213067,0,4,2,0,0,0,0
ENSG00000213068,1,2,1,1,0,1,1
ENSG00000213069,0,13,4,0,0,0,0
ENSG00000213070,0,20,14,0,0,0,0
ENSG00000213071,1,66,35,4,5,9,9
ENSG00000213073,0,0,0,0,0,0,0
ENSG00000213075,12,26,5,118,133,85,91
ENSG00000213076,2,22,26,0,0,0,0
ENSG00000213078,0,18,7,3,1,0,6
ENSG00000213079,426,14,57,5198,4588,4058,5608
ENSG00000213080,5,37,53,5,3,18,23
ENSG00000213081,0,25,9,0,1,0,0
ENSG00000213082,0,8,13,0,3,0,0
ENSG00000213083,0,5,0,0,0,0,0
ENSG00000213085,11,64,35,181,142,282,359
ENSG00000213087,6,1,2,9,28,87,96
ENSG00000213088,0,38,8,0,0,4,5
ENSG00000213089,21,25,13,129,64,56,77
ENSG00000213090,10,20,11,161,141,165,136
ENSG00000213091,1,27,15,0,0,0,0
ENSG00000213096,83,22,43,1609,1273,1130,1750
ENSG00000213100,0,13,0,0,0,0,0
ENSG00000213104,2,13,6,12,8,12,14
ENSG00000213107,2,10,11,1,0,0,0
ENSG00000213108,3,0,5,0,0,0,0
ENSG00000213109,4,14,3,0,1,0,1
ENSG00000213110,0,12,0,0,0,0,1
ENSG00000213111,0,0,0,0,0,0,0
ENSG00000213113,0,12,23,3,9,2,0
ENSG00000213115,0,1,1,0,0,0,0
ENSG00000213117,2,24,32,1,1,0,2
ENSG00000213118,0,5,2,0,0,0,0
ENSG00000213120,0,22,29,0,0,0,0
ENSG00000213121,0,8,4,0,0,0,0
ENSG00000213122,0,3,0,0,0,0,1
ENSG00000213123,7,30,41,23,14,21,29
ENSG00000213126,0,1,1,0,0,0,0
ENSG00000213128,2,19,14,1,1,2,3
ENSG00000213130,0,17,2,0,0,0,0
ENSG00000213131,7,3,4,14,9,12,18
ENSG00000213133,0,19,4,0,0,2,1
ENSG00000213137,1,2,4,1,3,5,2
ENSG00000213139,12,28,13,105,73,117,167
ENSG00000213140,0,17,27,1,1,4,3
ENSG00000213144,0,12,8,21,6,13,18
ENSG00000213145,1,28,35,182,164,67,206
ENSG00000213147,0,0,0,0,0,0,0
ENSG00000213148,0,7,13,0,0,0,0
ENSG00000213149,3,25,16,44,41,48,52
ENSG00000213150,0,12,14,1,1,1,1
ENSG00000213152,19,4,1,15,16,23,20
ENSG00000213153,0,13,10,0,0,0,0
ENSG00000213155,0,4,6,0,0,0,1
ENSG00000213157,1,6,8,0,1,0,5
ENSG00000213158,0,2,5,0,0,0,0
ENSG00000213159,0,3,6,0,0,0,0
ENSG00000213160,16,109,105,19,42,18,55
ENSG00000213167,2,2,1,0,0,0,0
ENSG00000213169,0,23,26,71,58,196,141
ENSG00000213170,0,1,2,0,0,0,0
ENSG00000213171,0,35,26,0,0,0,0
ENSG00000213172,7,5,2,1,2,3,2
ENSG00000213174,0,0,0,0,0,1,1
ENSG00000213176,0,28,9,1,0,3,2
ENSG00000213177,0,7,4,0,0,0,0
ENSG00000213178,8,11,0,155,192,422,607
ENSG00000213179,2,8,6,0,1,1,6
ENSG00000213180,4,0,7,0,1,0,4
ENSG00000213181,0,3,3,0,0,0,0
ENSG00000213182,3,3,6,0,0,0,0
ENSG00000213183,1,0,5,0,0,1,0
ENSG00000213184,3,9,1,0,0,0,0
ENSG00000213185,3,6,7,162,265,120,214
ENSG00000213186,43,41,43,519,641,503,738
ENSG00000213187,0,8,1,0,0,0,0
ENSG00000213188,1,16,14,2,8,3,11
ENSG00000213189,5,1,7,19,10,14,24
ENSG00000213190,12,42,52,93,139,88,208
ENSG00000213194,1,1,0,4,0,0,4
ENSG00000213197,0,5,0,0,0,2,0
ENSG00000213199,2,99,136,73,76,98,116
ENSG00000213201,0,11,1,0,0,0,1
ENSG00000213203,12,121,138,181,184,189,264
ENSG00000213204,1,10,6,52,13,39,56
ENSG00000213205,2,65,46,2,1,1,2
ENSG00000213209,0,5,3,0,0,0,0
ENSG00000213210,1,3,0,0,0,1,0
ENSG00000213211,0,16,1,0,0,0,0
ENSG00000213212,5,99,120,5,10,8,12
ENSG00000213213,2,6,23,143,94,108,150
ENSG00000213214,13,15,17,38,55,40,101
ENSG00000213215,1,72,25,0,0,0,0
ENSG00000213216,1,0,9,2,7,6,7
ENSG00000213218,0,2,7,0,0,0,0
ENSG00000213221,2,43,82,68,16,58,49
ENSG00000213222,2,18,18,69,11,8,62
ENSG00000213225,1,57,62,10,5,25,13
ENSG00000213226,0,2,1,1,1,3,3
ENSG00000213228,5,29,56,8,11,21,22
ENSG00000213231,9,7,13,145,131,19,78
ENSG00000213232,1,12,28,0,0,0,0
ENSG00000213233,0,2,0,0,0,0,0
ENSG00000213234,2,8,9,5,5,6,4
ENSG00000213235,9,24,6,6,11,24,27
ENSG00000213236,25,3,7,29,29,41,66
ENSG00000213237,0,8,0,5,3,10,14
ENSG00000213238,0,7,0,0,0,0,0
ENSG00000213239,4,6,6,1,2,3,2
ENSG00000213244,0,9,4,1,1,1,0
ENSG00000213246,5,1,5,13,19,25,21
ENSG00000213247,0,7,2,0,0,0,0
ENSG00000213250,5,6,2,2,0,1,0
ENSG00000213252,1,5,0,13,3,14,21
ENSG00000213253,3,29,34,5,10,7,17
ENSG00000213260,17,0,5,15,16,8,23
ENSG00000213261,25,22,7,142,190,248,386
ENSG00000213262,3,8,5,9,15,9,8
ENSG00000213264,0,17,16,1,0,0,0
ENSG00000213265,1,27,52,0,0,0,0
ENSG00000213269,0,2,8,2,5,7,9
ENSG00000213270,1,15,20,0,1,1,1
ENSG00000213272,5,2,1,1,0,10,3
ENSG00000213275,4,15,1,1,0,0,0
ENSG00000213277,0,6,9,6,14,4,11
ENSG00000213279,10,39,32,5,14,14,18
ENSG00000213280,9,3,8,50,58,97,172
ENSG00000213281,266,63,62,6637,9472,6754,9657
ENSG00000213285,0,0,0,0,0,0,0
ENSG00000213287,4,7,0,0,0,0,0
ENSG00000213290,0,19,40,9,5,7,9
ENSG00000213291,0,24,1,0,1,2,3
ENSG00000213293,4,15,19,11,3,8,13
ENSG00000213295,0,5,0,0,0,0,1
ENSG00000213296,2,23,27,0,3,8,2
ENSG00000213297,0,0,0,0,0,0,0
ENSG00000213300,2,17,20,121,116,90,181
ENSG00000213301,0,0,4,0,0,0,0
ENSG00000213302,0,8,5,0,0,1,1
ENSG00000213303,8,22,23,7,11,16,14
ENSG00000213304,0,1,9,2,0,2,3
ENSG00000213305,1,4,3,0,3,3,0
ENSG00000213307,0,5,0,1,0,1,1
ENSG00000213309,5,2,9,0,1,7,13
ENSG00000213310,0,23,28,6,5,10,9
ENSG00000213312,2,5,13,3,3,3,3
ENSG00000213315,26,6,13,57,75,104,128
ENSG00000213316,3,24,46,20,26,13,59
ENSG00000213318,0,27,18,0,0,0,0
ENSG00000213326,16,2,6,115,149,200,267
ENSG00000213328,1,17,19,1,0,6,3
ENSG00000213331,2,0,11,1,1,2,0
ENSG00000213332,0,27,33,1,0,0,0
ENSG00000213333,0,0,0,0,0,0,0
ENSG00000213335,1,3,1,0,1,0,1
ENSG00000213337,58,61,62,213,215,189,330
ENSG00000213338,0,0,0,0,0,0,0
ENSG00000213339,31,169,157,1734,1720,2376,2972
ENSG00000213341,162,125,143,1577,1538,986,1484
ENSG00000213343,5,0,0,3,8,5,15
ENSG00000213344,2,1,0,0,1,1,3
ENSG00000213347,9,70,86,427,347,375,614
ENSG00000213352,1,3,5,0,0,0,0
ENSG00000213355,0,34,24,0,0,0,0
ENSG00000213358,0,14,15,0,0,0,1
ENSG00000213361,1,15,4,2,0,2,3
ENSG00000213362,5,6,15,18,9,11,13
ENSG00000213363,7,2,7,4,6,15,12
ENSG00000213365,0,2,0,3,5,3,6
ENSG00000213366,32,133,69,502,522,1467,363
ENSG00000213368,1,18,8,0,0,0,0
ENSG00000213370,1,1,1,0,0,0,0
ENSG00000213371,1,1,0,8,8,12,15
ENSG00000213373,1,50,14,0,2,1,0
ENSG00000213376,0,22,13,0,1,0,0
ENSG00000213380,26,51,89,514,497,304,548
ENSG00000213383,0,21,8,0,2,5,0
ENSG00000213384,1,1,0,0,0,0,0
ENSG00000213385,2,3,10,15,25,13,44
ENSG00000213386,1,5,3,8,6,6,10
ENSG00000213390,134,59,22,1692,2109,1214,2314
ENSG00000213393,1,2,12,0,0,0,1
ENSG00000213394,0,37,65,2,7,8,4
ENSG00000213397,15,47,67,119,111,133,246
ENSG00000213398,28,57,47,228,183,493,319
ENSG00000213399,19,23,37,55,55,170,106
ENSG00000213400,0,20,14,4,1,1,11
ENSG00000213401,0,33,21,0,0,0,0
ENSG00000213402,0,0,0,0,0,0,0
ENSG00000213403,0,2,1,0,0,0,0
ENSG00000213406,0,7,7,2,0,1,2
ENSG00000213409,6,15,26,2,5,7,11
ENSG00000213411,2,8,5,4,6,5,17
ENSG00000213412,0,0,3,0,0,1,2
ENSG00000213413,15,0,3,25,13,31,20
ENSG00000213414,0,11,3,1,0,0,1
ENSG00000213416,0,18,7,1,0,3,11
ENSG00000213417,0,19,21,0,0,0,0
ENSG00000213420,7,43,95,236,211,232,286
ENSG00000213421,0,5,0,0,0,0,0
ENSG00000213423,0,11,5,0,0,0,0
ENSG00000213424,0,30,17,0,1,2,0
ENSG00000213430,5,12,0,6,4,14,13
ENSG00000213431,1,2,2,0,0,0,0
ENSG00000213432,5,5,1,6,7,15,22
ENSG00000213433,5,14,22,57,67,58,84
ENSG00000213434,1,13,35,0,0,5,2
ENSG00000213435,2,4,8,8,9,2,6
ENSG00000213438,1,6,11,3,1,4,2
ENSG00000213439,0,12,3,0,0,0,0
ENSG00000213440,8,6,4,7,11,15,18
ENSG00000213442,261,13,45,1087,1813,3101,3502
ENSG00000213443,0,0,0,0,0,0,0
ENSG00000213445,163,157,373,18675,19005,11819,22912
ENSG00000213448,1,4,0,1,0,1,5
ENSG00000213449,1,3,0,0,0,0,0
ENSG00000213450,0,32,17,0,0,0,0
ENSG00000213451,0,20,6,0,0,0,0
ENSG00000213452,0,6,5,0,0,1,1
ENSG00000213453,6,14,48,8,5,8,8
ENSG00000213455,1,9,8,1,0,0,0
ENSG00000213461,1,0,1,2,0,1,3
ENSG00000213462,111,77,26,388,487,427,738
ENSG00000213463,66,7,29,1287,1456,1393,1883
ENSG00000213465,14,47,57,259,207,222,253
ENSG00000213467,0,14,5,1,2,0,1
ENSG00000213468,18,104,89,195,274,130,196
ENSG00000213470,0,2,0,0,0,0,0
ENSG00000213471,3,32,42,6,6,9,9
ENSG00000213478,0,2,0,1,0,2,3
ENSG00000213480,1,7,12,3,0,0,1
ENSG00000213483,0,1,0,0,0,0,0
ENSG00000213484,4,15,5,0,0,4,1
ENSG00000213486,0,6,9,0,0,0,0
ENSG00000213487,0,7,1,0,0,0,0
ENSG00000213488,0,1,1,0,0,0,0
ENSG00000213489,1,4,23,0,0,0,0
ENSG00000213492,4,48,66,9,30,34,67
ENSG00000213493,0,21,1,3,1,4,3
ENSG00000213495,0,3,3,0,1,0,3
ENSG00000213498,0,29,2,0,0,0,0
ENSG00000213500,0,4,7,0,0,0,0
ENSG00000213509,5,3,6,0,1,0,0
ENSG00000213512,0,47,72,2,21,1,7
ENSG00000213513,1,25,32,0,1,1,0
ENSG00000213514,1,32,21,2,0,7,5
ENSG00000213516,195,64,94,2642,3441,2609,3618
ENSG00000213519,0,3,0,3,4,1,8
ENSG00000213522,0,17,5,0,0,0,0
ENSG00000213523,96,74,79,1161,1122,866,1510
ENSG00000213525,0,0,0,2,0,0,0
ENSG00000213526,1,2,5,3,1,5,6
ENSG00000213527,1,1,4,0,0,0,0
ENSG00000213529,2,1,4,5,1,2,3
ENSG00000213530,0,0,7,0,0,0,0
ENSG00000213533,12,20,12,33,23,37,37
ENSG00000213536,0,0,4,0,0,0,0
ENSG00000213538,3,20,35,0,1,0,0
ENSG00000213539,5,27,25,1,1,4,5
ENSG00000213540,2,5,1,0,0,0,0
ENSG00000213542,5,1,3,84,111,95,234
ENSG00000213543,0,0,1,0,0,0,0
ENSG00000213547,0,9,30,0,0,0,0
ENSG00000213548,3,15,35,1,2,1,0
ENSG00000213549,0,4,7,0,0,0,0
ENSG00000213551,28,36,56,509,622,522,670
ENSG00000213553,133,8,21,1121,1701,2323,2782
ENSG00000213556,1,0,5,0,0,2,0
ENSG00000213557,1,0,2,0,10,0,13
ENSG00000213558,0,3,4,1,0,0,2
ENSG00000213559,0,7,0,1,0,2,1
ENSG00000213560,0,1,7,0,0,1,1
ENSG00000213561,0,28,41,0,0,0,0
ENSG00000213563,36,83,173,1078,1617,1201,1753
ENSG00000213568,0,9,5,0,3,1,1
ENSG00000213569,3,8,5,10,4,7,10
ENSG00000213574,1,9,5,2,1,0,0
ENSG00000213578,0,0,0,0,0,0,0
ENSG00000213579,0,1,2,1,0,4,3
ENSG00000213585,397,64,106,1813,1780,1547,2503
ENSG00000213587,1,8,3,0,0,0,1
ENSG00000213588,75,48,99,382,280,223,318
ENSG00000213590,5,29,55,12,8,12,18
ENSG00000213592,2,13,26,4,0,7,2
ENSG00000213593,137,49,58,1838,1651,1161,1829
ENSG00000213594,0,7,8,0,0,0,0
ENSG00000213598,24,6,1,144,168,323,420
ENSG00000213599,1,2,1,0,0,0,0
ENSG00000213600,38,27,55,6,9,9,13
ENSG00000213601,0,15,2,0,0,0,0
ENSG00000213604,0,0,0,0,0,0,0
ENSG00000213605,0,2,4,0,0,0,0
ENSG00000213606,1,7,5,0,0,0,0
ENSG00000213607,0,0,2,0,0,0,0
ENSG00000213608,2,26,38,5,5,0,5
ENSG00000213609,21,4,1,78,106,118,195
ENSG00000213612,2,22,36,1,1,21,10
ENSG00000213613,6,4,5,23,21,35,39
ENSG00000213614,318,114,86,1189,1628,1634,2132
ENSG00000213619,180,172,193,1572,1705,1580,2229
ENSG00000213620,0,5,2,0,1,0,2
ENSG00000213621,3,13,8,29,48,51,84
ENSG00000213625,90,69,107,896,819,1015,1281
ENSG00000213626,1899,93,249,16402,11817,4616,13993
ENSG00000213630,1,12,7,0,0,0,0
ENSG00000213638,1,45,105,93,55,67,98
ENSG00000213639,1232,71,231,6694,5427,3485,6489
ENSG00000213640,2,20,36,14,22,15,18
ENSG00000213641,0,8,2,0,0,2,2
ENSG00000213642,0,22,18,1,0,1,0
ENSG00000213643,0,0,0,0,0,0,0
ENSG00000213644,0,22,28,0,0,0,0
ENSG00000213645,0,28,21,1,0,0,1
ENSG00000213648,0,0,3,0,0,1,0
ENSG00000213650,0,11,6,0,1,0,0
ENSG00000213652,0,9,4,0,0,0,0
ENSG00000213653,0,2,3,0,0,1,1
ENSG00000213654,816,46,166,12684,12833,10477,15426
ENSG00000213655,0,3,0,0,1,0,0
ENSG00000213657,0,1,3,0,0,0,0
ENSG00000213658,2,51,49,9,9,10,25
ENSG00000213659,0,20,1,0,0,0,0
ENSG00000213661,1,4,2,1,0,1,2
ENSG00000213663,3,0,0,0,0,1,3
ENSG00000213664,0,2,0,0,0,0,0
ENSG00000213667,2,25,14,4,0,4,0
ENSG00000213669,11,11,16,3,0,1,7
ENSG00000213671,0,28,24,0,0,1,4
ENSG00000213672,56,73,118,379,415,367,554
ENSG00000213673,2,9,6,0,1,1,4
ENSG00000213676,287,94,91,6322,5615,4835,7371
ENSG00000213683,0,28,14,8,11,15,22
ENSG00000213684,2,7,10,1,0,2,3
ENSG00000213689,0,0,0,0,0,0,0
ENSG00000213690,0,0,7,1,0,0,1
ENSG00000213693,7,15,32,104,60,62,103
ENSG00000213694,1,249,213,1,0,0,1
ENSG00000213695,2,10,10,6,4,4,3
ENSG00000213697,2,43,43,4,0,0,0
ENSG00000213698,0,13,10,0,1,1,0
ENSG00000213699,153,115,99,797,633,506,802
ENSG00000213700,5,6,6,11,11,15,17
ENSG00000213701,0,0,12,5,1,4,2
ENSG00000213703,0,0,3,1,0,0,0
ENSG00000213704,2,15,6,0,0,0,2
ENSG00000213706,2,6,23,4,2,5,5
ENSG00000213707,19,4,13,23,47,20,42
ENSG00000213708,0,30,13,0,0,0,0
ENSG00000213711,0,7,0,0,1,0,0
ENSG00000213713,7,2,2,48,65,57,61
ENSG00000213714,18,17,11,112,91,99,145
ENSG00000213716,3,5,6,0,0,0,0
ENSG00000213717,1,0,0,0,1,1,0
ENSG00000213719,1121,64,248,7519,10688,3197,6677
ENSG00000213721,0,3,0,0,0,0,0
ENSG00000213722,77,34,52,1582,2610,893,2094
ENSG00000213724,0,21,14,0,0,0,0
ENSG00000213726,1,35,54,0,0,0,0
ENSG00000213727,0,7,16,0,0,0,0
ENSG00000213729,1,19,4,0,0,1,2
ENSG00000213730,0,16,19,0,0,0,0
ENSG00000213731,12,0,3,30,12,15,27
ENSG00000213735,0,4,2,0,2,1,2
ENSG00000213736,0,5,4,0,0,0,0
ENSG00000213739,0,14,22,0,0,0,0
ENSG00000213740,4,26,10,15,27,32,32
ENSG00000213741,1018,146,127,54762,84156,62769,93659
ENSG00000213742,8,68,40,100,112,130,114
ENSG00000213744,2,4,4,3,2,2,9
ENSG00000213747,0,0,4,0,0,0,0
ENSG00000213750,7,21,23,0,0,8,3
ENSG00000213752,0,7,22,0,0,1,0
ENSG00000213753,35,110,84,326,428,210,346
ENSG00000213754,5,21,4,13,23,10,9
ENSG00000213755,1,22,22,4,2,0,2
ENSG00000213757,32,11,4,68,117,165,259
ENSG00000213759,0,4,2,0,0,0,0
ENSG00000213760,12,36,46,61,82,68,62
ENSG00000213761,0,2,1,0,0,0,0
ENSG00000213762,238,94,179,2362,2913,2600,3448
ENSG00000213763,29,29,19,15,7,12,19
ENSG00000213770,0,12,13,0,0,2,0
ENSG00000213771,1,31,19,0,0,0,0
ENSG00000213772,2,12,7,6,8,10,10
ENSG00000213774,0,4,9,0,0,0,0
ENSG00000213777,0,26,20,8,2,5,2
ENSG00000213778,1,10,3,0,1,1,2
ENSG00000213779,0,14,1,3,9,4,2
ENSG00000213780,0,5,8,9,6,5,11
ENSG00000213781,0,20,11,0,0,0,0
ENSG00000213782,46,50,25,789,539,1102,1103
ENSG00000213783,0,4,2,0,2,0,0
ENSG00000213785,1,3,0,1,0,0,0
ENSG00000213786,0,9,15,0,0,0,0
ENSG00000213787,0,4,4,0,0,0,0
ENSG00000213790,14,63,62,8,10,16,26
ENSG00000213791,3,0,0,1,7,3,5
ENSG00000213793,14,101,90,595,642,586,867
ENSG00000213798,0,0,9,0,2,1,3
ENSG00000213799,23,163,150,1504,1827,1365,2067
ENSG00000213801,14,36,16,158,217,154,246
ENSG00000213809,2,4,4,12,1,24,21
ENSG00000213816,0,10,4,2,5,6,7
ENSG00000213820,0,9,18,6,3,6,9
ENSG00000213822,0,10,19,0,0,0,0
ENSG00000213830,0,0,0,1,3,0,0
ENSG00000213839,6,22,8,123,153,153,200
ENSG00000213842,16,0,9,4,3,7,6
ENSG00000213849,5,7,10,1,3,1,5
ENSG00000213851,6,12,2,4,1,15,5
ENSG00000213853,5,80,58,3,4,0,5
ENSG00000213854,0,21,3,0,0,0,0
ENSG00000213856,0,2,4,2,5,1,4
ENSG00000213857,3,11,3,3,5,0,3
ENSG00000213859,25,57,112,249,293,169,276
ENSG00000213860,6,0,1,29,22,29,52
ENSG00000213862,11,6,3,43,76,126,136
ENSG00000213864,20,1,5,9,14,22,25
ENSG00000213866,19,21,10,123,154,143,198
ENSG00000213867,1,4,2,2,3,3,3
ENSG00000213871,12,0,16,5,2,5,3
ENSG00000213872,15,3,8,24,25,29,26
ENSG00000213873,0,4,1,0,0,0,0
ENSG00000213875,0,8,0,0,1,0,2
ENSG00000213876,0,11,6,0,0,0,0
ENSG00000213877,0,2,7,0,0,0,0
ENSG00000213880,0,17,15,2,0,0,1
ENSG00000213881,9,1,12,24,25,27,36
ENSG00000213882,0,4,8,0,0,0,0
ENSG00000213885,44,13,8,35,46,60,103
ENSG00000213886,0,6,0,0,0,0,0
ENSG00000213888,7,39,49,98,66,62,81
ENSG00000213889,8,70,99,94,107,225,181
ENSG00000213891,4,13,24,6,14,9,13
ENSG00000213892,2,72,86,0,0,0,0
ENSG00000213896,0,15,5,1,0,0,0
ENSG00000213900,0,0,0,0,0,0,0
ENSG00000213901,13,64,47,20,20,13,12
ENSG00000213903,62,173,242,407,435,774,586
ENSG00000213904,4,45,61,22,20,22,32
ENSG00000213906,16,29,52,39,30,77,64
ENSG00000213908,0,24,6,0,0,0,0
ENSG00000213911,0,6,5,0,0,0,0
ENSG00000213916,0,0,0,0,0,0,0
ENSG00000213917,0,5,3,0,0,0,2
ENSG00000213918,154,221,193,1801,1857,1337,2329
ENSG00000213920,0,0,1,1,0,0,1
ENSG00000213921,2,10,14,0,0,0,0
ENSG00000213923,76,127,238,2205,2165,2976,2813
ENSG00000213924,0,22,8,0,0,0,0
ENSG00000213925,0,21,7,1,1,2,4
ENSG00000213926,1,9,19,0,0,0,1
ENSG00000213927,0,0,0,0,0,0,0
ENSG00000213928,198,54,53,1930,1240,805,1214
ENSG00000213930,52,50,63,238,145,295,266
ENSG00000213931,0,2,1,1,0,0,0
ENSG00000213934,0,0,3,0,0,0,0
ENSG00000213935,0,23,10,3,4,1,4
ENSG00000213937,0,50,61,1,0,1,1
ENSG00000213938,0,24,23,0,1,2,1
ENSG00000213939,7,10,11,32,38,102,154
ENSG00000213940,0,6,3,0,0,0,1
ENSG00000213942,2,4,8,16,22,40,54
ENSG00000213943,0,28,27,0,0,0,0
ENSG00000213946,0,7,10,0,0,0,0
ENSG00000213949,2,147,75,0,0,0,1
ENSG00000213950,2,0,4,5,5,7,6
ENSG00000213954,0,9,1,0,0,0,0
ENSG00000213956,1,3,0,0,1,0,0
ENSG00000213958,2,45,7,0,0,0,0
ENSG00000213959,0,5,9,0,0,0,0
ENSG00000213962,1,11,0,1,0,0,0
ENSG00000213963,5,33,19,14,23,9,21
ENSG00000213964,0,10,0,0,0,0,0
ENSG00000213965,93,43,72,362,345,510,479
ENSG00000213967,26,98,110,176,217,137,275
ENSG00000213970,8,18,25,7,1,12,3
ENSG00000213972,0,17,26,0,0,0,0
ENSG00000213973,1,32,38,10,6,48,3
ENSG00000213976,0,0,0,0,0,0,0
ENSG00000213977,1,4,4,35,61,34,62
ENSG00000213979,3,7,3,1,4,3,4
ENSG00000213981,3,23,8,0,0,0,0
ENSG00000213983,455,70,88,6310,4831,5622,7139
ENSG00000213985,3,15,2,30,21,21,41
ENSG00000213987,0,0,3,0,0,0,0
ENSG00000213988,25,40,36,350,165,221,264
ENSG00000213994,2,16,28,8,3,1,5
ENSG00000213995,108,129,147,2059,1532,1961,2732
ENSG00000213996,3,33,59,0,0,2,0
ENSG00000213997,32,8,10,97,97,124,156
ENSG00000213999,2,14,17,20,12,27,12
ENSG00000214003,0,24,11,0,0,0,0
ENSG00000214009,0,3,7,0,0,0,0
ENSG00000214012,0,17,6,0,0,0,0
ENSG00000214013,281,42,59,2771,2304,2042,2605
ENSG00000214015,0,3,7,0,0,0,0
ENSG00000214016,1,7,1,14,48,33,58
ENSG00000214018,1,26,28,2,0,2,2
ENSG00000214019,3,18,2,23,25,42,59
ENSG00000214020,0,0,0,0,0,0,0
ENSG00000214021,221,130,182,1219,819,1276,1411
ENSG00000214022,313,105,176,5700,7314,6377,10179
ENSG00000214024,1,0,5,0,0,0,0
ENSG00000214025,0,20,3,0,0,0,0
ENSG00000214026,9,4,15,367,426,333,70
ENSG00000214027,1,1,3,5,6,13,15
ENSG00000214029,77,88,159,768,678,678,676
ENSG00000214031,0,18,2,1,0,3,3
ENSG00000214035,0,42,5,0,0,0,0
ENSG00000214039,3,89,91,0,0,0,0
ENSG00000214041,0,6,1,0,0,0,0
ENSG00000214042,0,0,1,2,0,0,0
ENSG00000214043,1,27,15,2,0,8,1
ENSG00000214045,2,66,28,1,0,1,2
ENSG00000214046,158,84,130,739,772,666,1042
ENSG00000214047,0,15,8,1,0,0,2
ENSG00000214049,4,66,75,9,2,16,9
ENSG00000214050,6,11,30,0,0,0,0
ENSG00000214051,0,29,15,0,1,0,0
ENSG00000214062,0,9,28,6,4,11,13
ENSG00000214063,7,109,207,205,214,362,428
ENSG00000214064,0,0,0,0,0,0,0
ENSG00000214067,1,3,1,2,5,2,10
ENSG00000214070,5,0,1,2,3,3,0
ENSG00000214071,0,21,11,0,0,0,0
ENSG00000214073,2,0,2,1,6,5,12
ENSG00000214074,1,12,9,0,0,0,0
ENSG00000214076,0,0,0,0,0,0,0
ENSG00000214077,5,40,27,0,0,0,0
ENSG00000214078,1130,55,222,3883,4421,4912,5929
ENSG00000214081,0,1,9,0,0,0,0
ENSG00000214087,71,82,128,1259,1331,1223,1854
ENSG00000214089,4,5,7,5,11,8,14
ENSG00000214093,16,0,3,3,3,6,8
ENSG00000214097,1,64,70,0,0,0,2
ENSG00000214100,0,41,40,0,0,0,0
ENSG00000214102,1,10,37,6,6,8,5
ENSG00000214106,44,44,52,1067,776,649,908
ENSG00000214107,0,37,14,0,0,0,0
ENSG00000214108,1,6,4,1,3,1,3
